GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master)
510837275,Descent2e,0,ABOUT_TO_START,0,0,5,2,"(11,6)","(1,16)","(11,4)","(6,2)","(2,16)","(2,15)","(1,15)","(4,2)","(5,7)","(2,2)","(5,5)","(3,2)","(7,4)"
-1489172791,Descent2e,0,ABOUT_TO_START,0,0,5,3,"(7,3)","(2,16)","(6,3)","(8,6)","(2,15)","(1,15)","(1,16)","(5,3)","(3,4)","(4,4)","(5,4)","(3,3)","(10,4)"
-1616619103,Descent2e,0,ABOUT_TO_START,0,0,5,4,"(7,3)","(2,16)","(9,4)","(8,3)","(1,16)","(1,15)","(2,15)","(4,7)","(3,5)","(2,6)","(5,2)","(2,3)","(6,4)"
-1997911799,Descent2e,0,ABOUT_TO_START,0,0,5,5,"(7,2)","(2,15)","(10,6)","(7,4)","(1,16)","(1,15)","(2,16)","(3,7)","(2,7)","(2,4)","(4,6)","(4,4)","(11,4)"
-853249650,Descent2e,0,ABOUT_TO_START,0,0,5,6,"(7,3)","(1,16)","(9,4)","(6,4)","(2,16)","(2,15)","(1,15)","(2,5)","(3,3)","(3,2)","(3,5)","(5,7)","(9,2)"
2094340922,Descent2e,0,ABOUT_TO_START,0,0,5,7,"(8,2)","(2,15)","(11,4)","(8,6)","(1,15)","(1,16)","(2,16)","(2,7)","(5,2)","(4,3)","(3,4)","(2,6)","(10,3)"
-2111452579,Descent2e,0,ABOUT_TO_START,0,0,5,8,"(10,6)","(1,16)","(7,3)","(9,6)","(2,15)","(1,15)","(2,16)","(3,6)","(3,4)","(3,2)","(5,4)","(5,7)","(10,3)"
1492245547,Descent2e,0,ABOUT_TO_START,0,0,5,9,"(7,2)","(1,15)","(8,6)","(11,4)","(1,16)","(2,15)","(2,16)","(2,6)","(5,3)","(2,4)","(5,7)","(5,6)","(6,2)"
-103559468,Descent2e,0,ABOUT_TO_START,0,0,5,10,"(11,5)","(2,15)","(6,3)","(6,5)","(1,15)","(1,16)","(2,16)","(2,7)","(2,2)","(2,5)","(3,4)","(3,3)","(8,3)"
206270627,Descent2e,0,ABOUT_TO_START,0,0,5,11,"(11,4)","(1,15)","(8,3)","(10,6)","(2,15)","(1,16)","(2,16)","(5,7)","(2,7)","(3,4)","(4,2)","(5,5)","(9,6)"
