GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,WinnerType
510837275,Descent2e,6,GAME_OVER,166,0,5,2,overlord
-1489172791,Descent2e,12,GAME_OVER,348,0,5,3,overlord
-1616619103,Descent2e,9,GAME_OVER,264,0,5,4,overlord
-1997911799,Descent2e,8,GAME_OVER,252,0,5,5,overlord
-853249650,Descent2e,5,GAME_OVER,113,0,5,6,overlord
2094340922,Descent2e,5,GAME_OVER,149,1,5,7,overlord
-2111452579,Descent2e,6,GAME_OVER,160,0,5,8,overlord
1492245547,Descent2e,4,GAME_OVER,91,0,5,9,overlord
-103559468,Descent2e,5,GAME_OVER,154,0,5,10,overlord
206270627,Descent2e,6,GAME_OVER,160,4,5,11,overlord
