GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master)
-129240464,Descent2e,0,ABOUT_TO_START,0,0,5,2,"(8,3)","(1,16)","(6,3)","(7,2)","(2,15)","(1,15)","(2,16)","(4,5)","(4,6)","(3,7)","(3,6)","(2,7)","(8,6)"
-12132643,Descent2e,0,ABOUT_TO_START,0,0,5,3,"(9,6)","(1,16)","(7,2)","(11,5)","(1,15)","(2,16)","(2,15)","(4,4)","(4,3)","(5,5)","(5,6)","(3,4)","(8,2)"
-1125441341,Descent2e,0,ABOUT_TO_START,0,0,5,4,"(10,4)","(2,16)","(9,4)","(11,6)","(1,15)","(2,15)","(1,16)","(2,7)","(5,7)","(4,5)","(4,4)","(5,4)","(6,4)"
-1121622036,Descent2e,0,ABOUT_TO_START,0,0,5,5,"(11,5)","(2,16)","(8,6)","(9,6)","(2,15)","(1,16)","(1,15)","(4,5)","(2,5)","(2,3)","(5,3)","(3,2)","(10,3)"
-1665234851,Descent2e,0,ABOUT_TO_START,0,0,5,6,"(7,3)","(1,16)","(10,5)","(8,3)","(2,15)","(2,16)","(1,15)","(4,3)","(5,3)","(3,3)","(4,4)","(3,5)","(11,6)"
-1552751862,Descent2e,0,ABOUT_TO_START,0,0,5,7,"(10,5)","(1,16)","(8,2)","(9,4)","(2,15)","(2,16)","(1,15)","(3,7)","(2,3)","(3,6)","(3,4)","(2,5)","(7,3)"
411505302,Descent2e,0,ABOUT_TO_START,0,0,5,8,"(9,3)","(2,15)","(10,6)","(7,2)","(1,15)","(2,16)","(1,16)","(2,3)","(5,7)","(2,7)","(5,2)","(2,6)","(8,3)"
31772146,Descent2e,0,ABOUT_TO_START,0,0,5,9,"(9,4)","(2,15)","(7,2)","(8,3)","(1,15)","(2,16)","(1,16)","(5,2)","(3,2)","(4,5)","(5,3)","(3,3)","(10,3)"
-1872226856,Descent2e,0,ABOUT_TO_START,0,0,5,10,"(10,6)","(1,16)","(10,4)","(7,4)","(2,16)","(1,15)","(2,15)","(5,3)","(4,2)","(5,7)","(4,3)","(4,7)","(6,4)"
217539027,Descent2e,0,ABOUT_TO_START,0,0,5,11,"(7,4)","(2,16)","(9,2)","(10,3)","(1,16)","(2,15)","(1,15)","(3,6)","(3,7)","(4,4)","(4,5)","(5,6)","(9,4)"
260692750,Descent2e,0,ABOUT_TO_START,0,0,5,12,"(9,6)","(1,15)","(6,3)","(9,2)","(2,16)","(1,16)","(2,15)","(3,4)","(3,7)","(4,3)","(3,3)","(4,2)","(7,2)"
-665195121,Descent2e,0,ABOUT_TO_START,0,0,5,13,"(9,2)","(1,16)","(9,6)","(8,3)","(2,15)","(1,15)","(2,16)","(5,5)","(2,3)","(4,5)","(2,4)","(2,6)","(7,4)"
-295396702,Descent2e,0,ABOUT_TO_START,0,0,5,14,"(9,5)","(2,16)","(8,3)","(10,4)","(2,15)","(1,16)","(1,15)","(4,4)","(4,6)","(3,3)","(5,2)","(3,2)","(6,2)"
-2048788391,Descent2e,0,ABOUT_TO_START,0,0,5,15,"(8,6)","(2,15)","(11,5)","(10,6)","(2,16)","(1,15)","(1,16)","(2,5)","(4,7)","(3,2)","(4,4)","(3,3)","(7,2)"
-1330620512,Descent2e,0,ABOUT_TO_START,0,0,5,16,"(11,6)","(1,16)","(7,2)","(9,5)","(1,15)","(2,15)","(2,16)","(2,6)","(5,6)","(3,4)","(5,4)","(5,5)","(8,3)"
-503642943,Descent2e,0,ABOUT_TO_START,0,0,5,17,"(6,4)","(2,15)","(9,4)","(10,3)","(1,15)","(2,16)","(1,16)","(2,5)","(3,7)","(3,4)","(3,5)","(5,5)","(8,6)"
