GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(PlayerName-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2 rank),OrdinalPosition(Player-4 rank),OrdinalPosition(Player-1 rank),OrdinalPosition(Player-4),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),OrdinalPosition(PlayerName-4),FinalScore(PlayerName-0),FinalScore(Player-4),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),FinalScore(PlayerName-4),WinnerType(WinnerType),Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master),HealthPoints(Hero 1 HP),HealthPoints(Goblin Master HP),HealthPoints(Overlord Fatigue),HealthPoints(Goblin Minion 1 HP),HealthPoints(Goblin Minion 2 HP),HealthPoints(Hero 3 HP),HealthPoints(Hero 4 HP),HealthPoints(Goblin Minion 3 HP),HealthPoints(Goblin Minion 4 HP),HealthPoints(Hero 2 HP),HealthPoints(Barghest Minion 2 HP),HealthPoints(Barghest Minion 1 HP),HealthPoints(Barghest Minion 3 HP),HealthPoints(Barghest Master HP),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-4),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(Player-3),GameScore(Player-2),GameScore(PlayerName-1),GameScore(PlayerName-2),GameScore(PlayerName-3),GameScore(PlayerName-4),Winner(PlayerIdx)
-129240464,Descent2e,6,GAME_OVER,174,0,5,2,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(8,3)","(1,16)","(5,6)","(11,4)","(3,15)","(1,15)","(5,15)","(4,16)","(4,6)","(5,9)","(2,7)","(5,13)","(8,6)",8,4,7,2,2,12,10,2,2,8,6,6,6,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0
-12132643,Descent2e,5,GAME_OVER,116,0,5,3,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(9,6)","(1,16)","(5,5)","(11,5)","(1,15)","(3,17)","(5,14)","(5,8)","(2,7)","(5,16)","(5,6)","(6,4)","(8,2)",10,4,7,2,2,8,10,2,2,10,6,6,6,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0
-1125441341,Descent2e,6,GAME_OVER,155,0,5,4,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(9,6)","(1,15)","(9,5)","(11,6)","(2,15)","(3,17)","(1,16)","(2,7)","(5,7)","(4,15)","(5,14)","(3,13)","(6,4)",14,4,7,2,2,8,12,2,2,8,6,6,6,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0
-1121622036,Descent2e,5,GAME_OVER,152,0,5,5,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(11,5)","(2,16)","(8,7)","(9,6)","(1,15)","(1,16)","(5,17)","(5,8)","(6,5)","(6,14)","(4,12)","(8,4)","(10,3)",10,4,7,2,2,8,12,2,2,10,6,6,6,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0
-1665234851,Descent2e,5,GAME_OVER,147,0,5,6,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(7,3)","(6,17)","(10,5)","(8,3)","(3,16)","(1,16)","(5,14)","(4,8)","(4,16)","(5,6)","(3,8)","(3,14)","(10,4)",3,4,7,2,2,3,12,2,2,12,6,6,6,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0
-1552751862,Descent2e,4,GAME_OVER,91,0,5,7,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(10,5)","(1,16)","(8,2)","(9,4)","(2,15)","(2,16)","(1,15)","(6,16)","(2,3)","(3,9)","(4,12)","(4,15)","(7,3)",14,4,7,2,2,8,12,2,2,8,6,6,6,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0
411505302,Descent2e,4,GAME_OVER,79,0,5,8,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(9,3)","(2,15)","(10,6)","(7,2)","(1,15)","(2,16)","(1,16)","(2,7)","(5,7)","(5,14)","(4,6)","(2,6)","(8,3)",8,4,7,2,2,8,12,2,2,12,6,6,6,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0
31772146,Descent2e,6,GAME_OVER,161,0,5,9,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(9,4)","(1,16)","(7,2)","(8,3)","(1,15)","(2,16)","(3,14)","(6,14)","(6,4)","(3,12)","(2,7)","(4,6)","(10,3)",12,4,7,2,2,10,8,2,2,8,6,6,6,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0
-1872226856,Descent2e,5,GAME_OVER,132,0,5,10,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(10,6)","(1,16)","(8,7)","(7,4)","(2,16)","(1,15)","(7,9)","(5,7)","(3,7)","(4,14)","(5,13)","(4,7)","(6,4)",12,4,7,2,2,14,8,2,2,8,6,4,6,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0
217539027,Descent2e,5,GAME_OVER,125,0,5,11,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,overlord,"(7,4)","(2,16)","(5,4)","(10,3)","(8,17)","(4,17)","(3,14)","(3,6)","(3,7)","(6,14)","(4,7)","(5,6)","(9,4)",12,4,7,2,2,7,14,2,2,8,6,6,6,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS,0
