GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Hero 1 HP,Goblin Master HP,Overlord Fatigue,Goblin Minion 1 HP,Goblin Minion 2 HP,Hero 3 HP,Hero 4 HP,Goblin Minion 3 HP,Goblin Minion 4 HP,Hero 2 HP,Barghest Minion 2 HP,Barghest Minion 1 HP,Barghest Minion 3 HP,Barghest Master HP
-129240464,Descent2e,6,GAME_OVER,174,0,5,2,8,4,7,2,2,12,10,2,2,8,6,6,6,8
-12132643,Descent2e,5,GAME_OVER,116,0,5,3,10,4,7,2,2,8,10,2,2,10,6,6,6,8
-1125441341,Descent2e,6,GAME_OVER,155,0,5,4,14,4,7,2,2,8,12,2,2,8,6,6,6,8
-1121622036,Descent2e,5,GAME_OVER,152,0,5,5,10,4,7,2,2,8,12,2,2,10,6,6,6,8
-1665234851,Descent2e,5,GAME_OVER,147,0,5,6,3,4,7,2,2,3,12,2,2,12,6,6,6,8
-1552751862,Descent2e,4,GAME_OVER,91,0,5,7,14,4,7,2,2,8,12,2,2,8,6,6,6,8
411505302,Descent2e,4,GAME_OVER,79,0,5,8,8,4,7,2,2,8,12,2,2,12,6,6,6,8
31772146,Descent2e,6,GAME_OVER,161,0,5,9,12,4,7,2,2,10,8,2,2,8,6,6,6,8
-1872226856,Descent2e,5,GAME_OVER,132,0,5,10,12,4,7,2,2,14,8,2,2,8,6,4,6,8
217539027,Descent2e,5,GAME_OVER,125,0,5,11,12,4,7,2,2,7,14,2,2,8,6,6,6,8
260692750,Descent2e,5,GAME_OVER,159,0,5,12,10,4,7,2,2,5,8,2,2,14,6,6,6,8
-665195121,Descent2e,5,GAME_OVER,145,0,5,13,10,4,7,2,1,8,14,2,2,10,6,6,6,8
-295396702,Descent2e,5,GAME_OVER,130,0,5,14,10,4,7,2,2,8,12,2,2,10,6,6,6,8
-2048788391,Descent2e,6,GAME_OVER,190,0,5,15,14,2,7,2,2,10,8,2,2,8,6,6,6,8
-1330620512,Descent2e,6,GAME_OVER,170,0,5,16,8,4,7,2,2,12,8,2,2,12,6,6,6,8
-503642943,Descent2e,8,GAME_OVER,253,0,5,17,10,4,7,2,2,10,9,2,2,8,6,6,6,8
2038494905,Descent2e,4,GAME_OVER,89,0,5,18,10,4,7,2,2,8,14,2,2,10,6,6,6,8
2077725228,Descent2e,8,GAME_OVER,292,4,5,19,10,4,7,2,2,12,8,2,2,10,6,6,6,8
1270732849,Descent2e,12,GAME_OVER,440,0,5,20,12,4,7,2,2,8,8,2,2,8,6,6,6,8
817220418,Descent2e,4,GAME_OVER,114,0,5,21,12,4,7,2,2,8,8,2,2,14,6,6,6,8
1813997325,Descent2e,5,GAME_OVER,106,0,5,22,14,4,7,2,2,8,12,2,2,8,6,6,6,8
1515665901,Descent2e,6,GAME_OVER,150,0,5,23,8,4,7,2,2,8,12,2,2,12,6,6,6,8
-158184211,Descent2e,7,GAME_OVER,215,0,5,24,8,4,7,2,2,12,8,2,2,10,6,6,6,8
-167940666,Descent2e,5,GAME_OVER,113,0,5,25,10,4,7,2,2,14,8,2,2,8,6,6,6,8
731552121,Descent2e,5,GAME_OVER,137,0,5,26,12,4,7,2,2,8,12,2,2,8,6,6,6,8
-322514893,Descent2e,4,GAME_OVER,80,0,5,27,8,4,7,2,2,14,12,2,2,8,6,6,6,8
185924950,Descent2e,6,GAME_OVER,158,4,5,28,10,4,7,2,2,12,10,2,2,8,6,6,6,8
514226561,Descent2e,6,GAME_OVER,135,0,5,29,12,4,7,2,2,8,14,2,2,8,6,6,6,8
-802059280,Descent2e,8,GAME_OVER,215,0,5,30,8,4,7,2,2,10,12,1,2,12,6,6,6,8
72993970,Descent2e,5,GAME_OVER,130,0,5,31,14,4,7,2,2,10,8,2,2,12,6,6,6,8
1630215327,Descent2e,7,GAME_OVER,188,4,5,32,10,4,7,2,2,12,8,2,2,10,6,6,6,8
530021355,Descent2e,5,GAME_OVER,132,0,5,33,12,4,7,2,2,8,10,2,2,12,6,6,6,8
1014344438,Descent2e,5,GAME_OVER,144,4,5,34,8,4,7,2,2,10,8,2,2,14,6,6,6,8
205548954,Descent2e,5,GAME_OVER,109,0,5,35,12,4,7,2,2,8,10,2,2,12,6,6,6,8
865259323,Descent2e,5,GAME_OVER,165,5,5,36,10,4,7,2,2,8,7,1,2,14,6,6,6,8
-1434625337,Descent2e,6,GAME_OVER,171,0,5,37,8,4,7,2,2,10,12,2,2,9,6,6,6,8
-1328028846,Descent2e,5,GAME_OVER,154,0,5,38,12,4,7,2,2,10,12,2,2,8,6,6,6,8
76544316,Descent2e,5,GAME_OVER,121,0,5,39,8,4,7,2,2,12,8,2,2,14,6,6,6,8
1525708208,Descent2e,8,GAME_OVER,296,0,5,40,0,4,7,2,2,10,12,2,2,5,6,6,6,8
-1759598496,Descent2e,8,GAME_OVER,248,0,5,41,8,4,7,2,2,14,10,2,2,8,6,6,6,8
-1467442431,Descent2e,5,GAME_OVER,118,0,5,42,12,4,7,1,2,8,8,2,2,12,6,6,6,8
-533006861,Descent2e,5,GAME_OVER,125,0,5,43,14,2,7,2,2,8,10,2,2,12,6,6,6,8
-1864019792,Descent2e,5,GAME_OVER,117,0,5,44,12,4,7,2,2,8,10,2,2,8,6,6,6,8
1708750870,Descent2e,10,GAME_OVER,237,4,5,45,10,4,7,2,2,10,5,2,2,12,6,6,6,8
-676739731,Descent2e,5,GAME_OVER,119,0,5,46,12,4,7,2,2,10,8,2,2,12,6,6,6,8
1987738689,Descent2e,5,GAME_OVER,126,0,5,47,8,4,7,2,2,12,8,2,2,14,6,6,6,8
-891039127,Descent2e,4,GAME_OVER,102,4,5,48,12,4,7,2,2,8,10,2,2,14,6,6,6,8
2123069208,Descent2e,4,GAME_OVER,92,0,5,49,8,4,7,2,2,13,8,2,2,12,6,6,6,8
1192330975,Descent2e,5,GAME_OVER,107,0,5,50,8,4,7,2,2,12,10,2,2,12,6,6,6,8
2054686520,Descent2e,6,GAME_OVER,160,0,5,51,10,4,7,2,2,8,5,2,2,10,6,6,6,8
317141275,Descent2e,4,GAME_OVER,78,0,5,52,12,4,7,2,2,10,8,2,2,11,6,6,6,8
-589542030,Descent2e,5,GAME_OVER,132,0,5,53,8,4,7,2,2,12,6,2,2,12,6,6,6,8
1791957809,Descent2e,5,GAME_OVER,105,0,5,54,10,4,7,2,2,14,10,2,2,8,6,6,6,8
1058629402,Descent2e,7,GAME_OVER,209,0,5,55,8,4,7,2,2,8,12,2,2,10,6,6,6,8
142151403,Descent2e,5,GAME_OVER,128,5,5,56,8,4,7,2,2,10,14,2,2,8,6,6,6,8
-1545696438,Descent2e,5,GAME_OVER,192,0,5,57,9,4,7,2,2,8,12,2,2,10,6,6,6,8
1166734279,Descent2e,5,GAME_OVER,122,0,5,58,12,4,7,2,2,14,10,2,2,8,6,6,6,8
1455864387,Descent2e,8,GAME_OVER,252,0,5,59,10,4,7,2,2,9,8,2,2,12,6,6,6,8
-272020745,Descent2e,5,GAME_OVER,119,0,5,60,8,4,7,2,2,12,8,1,2,14,6,6,6,8
125544037,Descent2e,7,GAME_OVER,185,0,5,61,12,4,7,2,2,12,6,2,2,8,6,6,6,8
-17416001,Descent2e,6,GAME_OVER,145,0,5,62,8,4,7,2,2,12,8,2,2,9,6,6,6,8
1780256839,Descent2e,5,GAME_OVER,123,0,5,63,14,4,7,2,2,8,10,2,2,8,6,6,6,8
-1001828439,Descent2e,5,GAME_OVER,114,0,5,64,6,4,7,2,2,14,10,2,2,8,6,6,6,8
-832320528,Descent2e,5,GAME_OVER,123,0,5,65,12,4,7,2,2,8,8,2,2,12,6,6,6,8
