GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,RoundCounter
-129240464,Descent2e,0,ROUND_OVER,53,13,5,2,
-129240464,Descent2e,1,ROUND_OVER,81,13,5,2,
-129240464,Descent2e,2,ROUND_OVER,112,13,5,2,
-129240464,Descent2e,3,ROUND_OVER,128,13,5,2,
-129240464,Descent2e,4,ROUND_OVER,142,13,5,2,
-129240464,Descent2e,5,ROUND_OVER,173,13,5,2,
-12132643,Descent2e,0,ROUND_OVER,30,13,5,3,
-12132643,Descent2e,1,ROUND_OVER,53,13,5,3,
-12132643,Descent2e,2,ROUND_OVER,68,13,5,3,
-12132643,Descent2e,3,ROUND_OVER,91,13,5,3,
-12132643,Descent2e,4,ROUND_OVER,115,12,5,3,
-1125441341,Descent2e,0,ROUND_OVER,33,13,5,4,
-1125441341,Descent2e,1,ROUND_OVER,74,13,5,4,
-1125441341,Descent2e,2,ROUND_OVER,105,13,5,4,
-1125441341,Descent2e,3,ROUND_OVER,121,13,5,4,
-1125441341,Descent2e,4,ROUND_OVER,140,13,5,4,
-1125441341,Descent2e,5,ROUND_OVER,154,13,5,4,
-1121622036,Descent2e,0,ROUND_OVER,38,13,5,5,
-1121622036,Descent2e,1,ROUND_OVER,59,13,5,5,
-1121622036,Descent2e,2,ROUND_OVER,88,12,5,5,
-1121622036,Descent2e,3,ROUND_OVER,120,12,5,5,
-1121622036,Descent2e,4,ROUND_OVER,151,13,5,5,
-1665234851,Descent2e,0,ROUND_OVER,42,13,5,6,
-1665234851,Descent2e,1,ROUND_OVER,72,13,5,6,
-1665234851,Descent2e,2,ROUND_OVER,92,13,5,6,
-1665234851,Descent2e,3,ROUND_OVER,121,13,5,6,
-1665234851,Descent2e,4,ROUND_OVER,146,13,5,6,
-1552751862,Descent2e,0,ROUND_OVER,22,13,5,7,
-1552751862,Descent2e,1,ROUND_OVER,45,13,5,7,
-1552751862,Descent2e,2,ROUND_OVER,63,13,5,7,
-1552751862,Descent2e,3,ROUND_OVER,90,13,5,7,
411505302,Descent2e,0,ROUND_OVER,24,13,5,8,
411505302,Descent2e,1,ROUND_OVER,41,13,5,8,
