GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master)
-84488275,Descent2e,0,ABOUT_TO_START,0,0,4,2,"(10,4)","(1,15)",,"(9,3)","(2,15)","(2,16)",,"(5,4)",,"(2,4)","(2,7)","(4,5)","(11,5)"
-611313646,Descent2e,0,ABOUT_TO_START,0,0,4,3,"(8,6)","(1,16)",,"(10,3)","(2,15)","(2,16)",,"(5,3)",,"(2,2)","(5,7)","(4,5)","(8,2)"
1731327576,Descent2e,0,ABOUT_TO_START,0,0,4,4,"(8,2)","(1,15)",,"(8,6)","(2,16)","(2,15)",,"(5,5)",,"(3,3)","(2,3)","(4,6)","(10,4)"
-1030049306,Descent2e,0,ABOUT_TO_START,0,0,4,5,"(7,4)","(1,16)",,"(9,3)","(2,15)","(1,15)",,"(3,3)",,"(4,4)","(3,4)","(2,5)","(11,5)"
-332434317,Descent2e,0,ABOUT_TO_START,0,0,4,6,"(9,4)","(2,15)",,"(7,3)","(2,16)","(1,15)",,"(2,2)",,"(3,6)","(5,7)","(3,5)","(6,3)"
204336152,Descent2e,0,ABOUT_TO_START,0,0,4,7,"(11,5)","(2,15)",,"(10,6)","(2,16)","(1,16)",,"(3,5)",,"(4,7)","(2,2)","(3,3)","(7,3)"
114044284,Descent2e,0,ABOUT_TO_START,0,0,4,8,"(7,2)","(1,16)",,"(11,5)","(1,15)","(2,16)",,"(5,7)",,"(3,6)","(5,5)","(3,3)","(8,3)"
1126255906,Descent2e,0,ABOUT_TO_START,0,0,4,9,"(10,4)","(2,15)",,"(6,4)","(1,15)","(1,16)",,"(4,7)",,"(3,5)","(3,4)","(2,6)","(8,6)"
-407615820,Descent2e,0,ABOUT_TO_START,0,0,4,10,"(10,4)","(1,15)",,"(11,6)","(2,15)","(1,16)",,"(3,4)",,"(4,5)","(5,4)","(3,7)","(6,4)"
270862216,Descent2e,0,ABOUT_TO_START,0,0,4,11,"(10,5)","(2,16)",,"(11,5)","(1,16)","(2,15)",,"(2,6)",,"(2,4)","(4,2)","(2,3)","(7,2)"
-1291781659,Descent2e,0,ABOUT_TO_START,0,0,4,12,"(9,5)","(1,16)",,"(9,2)","(2,15)","(1,15)",,"(3,5)",,"(2,3)","(2,7)","(3,2)","(8,2)"
-1474588018,Descent2e,0,ABOUT_TO_START,0,0,4,13,"(8,2)","(1,15)",,"(9,6)","(2,16)","(1,16)",,"(5,6)",,"(5,2)","(4,3)","(3,2)","(9,4)"
697030021,Descent2e,0,ABOUT_TO_START,0,0,4,14,"(6,4)","(2,16)",,"(8,3)","(2,15)","(1,16)",,"(3,6)",,"(4,6)","(5,2)","(4,3)","(7,4)"
956090341,Descent2e,0,ABOUT_TO_START,0,0,4,15,"(8,2)","(2,16)",,"(6,4)","(1,15)","(1,16)",,"(5,3)",,"(5,5)","(3,4)","(2,5)","(10,5)"
1498501206,Descent2e,0,ABOUT_TO_START,0,0,4,16,"(9,3)","(2,15)",,"(6,3)","(1,15)","(1,16)",,"(3,6)",,"(2,7)","(4,7)","(5,6)","(10,5)"
-164530892,Descent2e,0,ABOUT_TO_START,0,0,4,17,"(9,5)","(2,15)",,"(10,4)","(2,16)","(1,15)",,"(2,7)",,"(5,3)","(4,2)","(4,4)","(6,3)"
-792746254,Descent2e,0,ABOUT_TO_START,0,0,4,18,"(9,4)","(2,15)",,"(6,3)","(1,15)","(2,16)",,"(2,7)",,"(4,2)","(2,2)","(2,3)","(8,6)"
1589492708,Descent2e,0,ABOUT_TO_START,0,0,4,19,"(7,4)","(2,15)",,"(9,3)","(1,16)","(2,16)",,"(3,3)",,"(5,5)","(4,5)","(5,4)","(7,2)"
1261642724,Descent2e,0,ABOUT_TO_START,0,0,4,20,"(8,2)","(1,15)",,"(7,3)","(2,16)","(2,15)",,"(2,3)",,"(5,2)","(5,5)","(4,6)","(9,4)"
-450095454,Descent2e,0,ABOUT_TO_START,0,0,4,21,"(7,2)","(1,16)",,"(10,6)","(1,15)","(2,16)",,"(5,3)",,"(3,2)","(5,5)","(5,7)","(8,2)"
-1046689982,Descent2e,0,ABOUT_TO_START,0,0,4,22,"(7,2)","(1,15)",,"(11,4)","(1,16)","(2,16)",,"(3,3)",,"(5,7)","(2,6)","(5,2)","(8,3)"
1087748963,Descent2e,0,ABOUT_TO_START,0,0,4,23,"(8,6)","(1,16)",,"(9,5)","(2,16)","(2,15)",,"(5,2)",,"(2,4)","(2,3)","(5,7)","(10,3)"
430231772,Descent2e,0,ABOUT_TO_START,0,0,4,24,"(11,5)","(2,16)",,"(6,4)","(2,15)","(1,16)",,"(3,3)",,"(2,4)","(5,7)","(3,2)","(9,3)"
301146624,Descent2e,0,ABOUT_TO_START,0,0,4,25,"(7,2)","(1,16)",,"(10,4)","(1,15)","(2,16)",,"(4,2)",,"(2,5)","(3,5)","(3,2)","(6,5)"
-589854594,Descent2e,0,ABOUT_TO_START,0,0,4,26,"(7,4)","(2,15)",,"(8,6)","(1,16)","(1,15)",,"(5,2)",,"(2,4)","(4,2)","(5,7)","(9,2)"
605096602,Descent2e,0,ABOUT_TO_START,0,0,4,27,"(8,3)","(1,16)",,"(9,6)","(2,16)","(2,15)",,"(3,5)",,"(4,7)","(3,6)","(3,4)","(10,6)"
970052066,Descent2e,0,ABOUT_TO_START,0,0,4,28,"(10,6)","(2,15)",,"(9,6)","(1,15)","(2,16)",,"(4,4)",,"(5,4)","(2,2)","(3,5)","(8,2)"
1218200676,Descent2e,0,ABOUT_TO_START,0,0,4,29,"(9,6)","(2,16)",,"(9,2)","(1,16)","(2,15)",,"(4,4)",,"(4,7)","(3,6)","(3,5)","(6,3)"
866989620,Descent2e,0,ABOUT_TO_START,0,0,4,30,"(7,4)","(1,16)",,"(6,3)","(2,16)","(1,15)",,"(5,4)",,"(3,7)","(3,6)","(5,3)","(9,3)"
-47842161,Descent2e,0,ABOUT_TO_START,0,0,4,31,"(6,5)","(1,16)",,"(8,3)","(1,15)","(2,15)",,"(3,5)",,"(4,2)","(2,2)","(2,6)","(9,5)"
