GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Hero 1 HP,Goblin Master HP,Overlord Fatigue,Goblin Minion 1 HP,Goblin Minion 2 HP,Hero 3 HP,Hero 4 HP,Goblin Minion 3 HP,Goblin Minion 4 HP,Hero 2 HP,Barghest Minion 2 HP,Barghest Minion 1 HP,Barghest Minion 3 HP,Barghest Master HP
-84488275,Descent2e,5,GAME_OVER,100,0,4,2,8,4,7,2,2,10,,2,,14,6,6,,8
-611313646,Descent2e,5,GAME_OVER,85,0,4,3,10,4,7,2,2,10,,2,,8,6,6,,8
1731327576,Descent2e,6,GAME_OVER,141,0,4,4,8,4,7,2,2,12,,2,,10,6,6,,8
-1030049306,Descent2e,4,GAME_OVER,87,0,4,5,12,4,7,2,2,8,,2,,14,6,6,,8
-332434317,Descent2e,4,GAME_OVER,92,3,4,6,10,4,7,2,2,6,,2,,10,6,6,,8
204336152,Descent2e,4,GAME_OVER,71,0,4,7,8,4,7,2,2,12,,2,,8,6,6,,8
114044284,Descent2e,5,GAME_OVER,107,0,4,8,12,4,7,2,2,12,,2,,8,6,6,,8
1126255906,Descent2e,5,GAME_OVER,115,0,4,9,10,1,7,2,2,14,,2,,8,6,6,,8
-407615820,Descent2e,5,GAME_OVER,104,0,4,10,8,4,7,2,2,7,,2,,9,6,6,,8
270862216,Descent2e,5,GAME_OVER,90,0,4,11,12,4,7,2,2,14,,2,,8,6,6,,8
-1291781659,Descent2e,5,GAME_OVER,97,0,4,12,8,4,7,2,2,10,,2,,8,6,6,,8
-1474588018,Descent2e,5,GAME_OVER,100,0,4,13,8,4,7,2,2,14,,2,,10,6,6,,8
697030021,Descent2e,6,GAME_OVER,157,0,4,14,14,4,7,2,2,4,,2,,8,6,6,,8
956090341,Descent2e,5,GAME_OVER,111,0,4,15,10,4,7,2,2,8,,2,,10,6,6,,8
1498501206,Descent2e,5,GAME_OVER,114,0,4,16,2,4,7,1,2,12,,2,,12,6,6,,8
-164530892,Descent2e,5,GAME_OVER,101,0,4,17,12,4,7,2,2,8,,2,,8,6,6,,8
-792746254,Descent2e,5,GAME_OVER,99,0,4,18,10,4,7,2,2,10,,2,,12,6,6,,8
1589492708,Descent2e,7,GAME_OVER,141,0,4,19,8,4,7,2,2,8,,2,,11,6,6,,8
1261642724,Descent2e,5,GAME_OVER,102,0,4,20,8,4,7,2,2,12,,2,,8,6,6,,8
-450095454,Descent2e,5,GAME_OVER,111,0,4,21,12,4,7,2,2,8,,2,,8,6,6,,8
-1046689982,Descent2e,6,GAME_OVER,126,3,4,22,8,3,7,2,2,14,,2,,10,6,6,,8
1087748963,Descent2e,20,GAME_OVER,422,0,4,23,10,4,0,2,2,4,,2,,10,6,6,,8
430231772,Descent2e,5,GAME_OVER,98,0,4,24,8,4,7,2,2,12,,2,,8,6,6,,8
301146624,Descent2e,6,GAME_OVER,126,0,4,25,8,4,7,2,2,8,,2,,12,6,6,,8
-589854594,Descent2e,6,GAME_OVER,159,3,4,26,12,2,7,2,2,8,,2,,8,6,6,,8
605096602,Descent2e,6,GAME_OVER,135,3,4,27,8,3,7,2,2,5,,2,,10,6,6,,8
970052066,Descent2e,5,GAME_OVER,116,0,4,28,8,4,7,2,2,12,,2,,10,6,6,,8
1218200676,Descent2e,5,GAME_OVER,108,3,4,29,8,4,7,2,2,8,,2,,12,6,6,,8
866989620,Descent2e,5,GAME_OVER,93,0,4,30,8,4,7,2,2,10,,2,,14,6,6,,8
-47842161,Descent2e,20,GAME_OVER,381,0,4,31,8,4,6,2,2,12,,2,,6,6,6,,8
-244636835,Descent2e,8,GAME_OVER,192,0,4,32,8,4,7,2,2,10,,2,,8,6,6,,8
-410429852,Descent2e,5,GAME_OVER,105,0,4,33,10,4,7,2,2,10,,2,,8,6,6,,8
25608568,Descent2e,5,GAME_OVER,99,0,4,34,8,4,7,2,2,12,,2,,8,6,6,,8
-315373361,Descent2e,5,GAME_OVER,92,0,4,35,10,4,7,2,2,14,,2,,8,6,6,,8
1721235730,Descent2e,5,GAME_OVER,110,0,4,36,8,4,7,2,2,10,,2,,10,6,6,,8
-1756951828,Descent2e,5,GAME_OVER,118,0,4,37,12,4,7,2,2,10,,2,,10,6,6,,8
172730667,Descent2e,5,GAME_OVER,124,0,4,38,14,4,7,2,2,10,,2,,10,6,6,,8
-26441638,Descent2e,8,GAME_OVER,158,0,4,39,10,4,7,2,2,14,,2,,12,6,6,,8
1988733455,Descent2e,5,GAME_OVER,91,0,4,40,8,4,7,2,2,8,,2,,12,6,6,,8
-1146669230,Descent2e,5,GAME_OVER,114,3,4,41,10,4,7,2,2,12,,2,,12,6,6,,8
700752511,Descent2e,5,GAME_OVER,92,0,4,42,5,4,7,1,2,10,,2,,8,6,6,,8
-1506964002,Descent2e,4,GAME_OVER,81,3,4,43,10,4,7,2,2,8,,2,,12,6,6,,8
1627911882,Descent2e,7,GAME_OVER,144,3,4,44,10,4,7,2,2,6,,2,,12,6,6,,8
1722747047,Descent2e,4,GAME_OVER,84,1,4,45,8,4,7,2,2,10,,2,,8,6,6,,8
-933116486,Descent2e,4,GAME_OVER,85,0,4,46,8,4,7,2,2,10,,2,,10,6,6,,8
-968323800,Descent2e,4,GAME_OVER,88,0,4,47,10,4,7,2,2,10,,2,,8,6,6,,8
83430792,Descent2e,4,GAME_OVER,84,0,4,48,12,4,7,2,2,10,,2,,10,6,6,,8
379763279,Descent2e,5,GAME_OVER,112,0,4,49,8,4,7,2,1,10,,2,,12,6,6,,8
-189775047,Descent2e,5,GAME_OVER,115,0,4,50,10,4,7,2,2,8,,2,,8,6,6,,8
-1670167081,Descent2e,5,GAME_OVER,125,3,4,51,12,4,7,2,2,8,,2,,8,6,6,,8
-1673858813,Descent2e,5,GAME_OVER,104,0,4,52,8,4,7,2,2,10,,2,,9,6,6,,8
-620912172,Descent2e,4,GAME_OVER,72,0,4,53,8,4,7,2,2,10,,2,,10,6,6,,8
-1157110601,Descent2e,5,GAME_OVER,112,0,4,54,14,4,7,2,2,10,,2,,10,6,6,,8
469411154,Descent2e,4,GAME_OVER,78,0,4,55,8,4,7,2,2,14,,2,,12,6,6,,8
-1034279610,Descent2e,6,GAME_OVER,142,0,4,56,10,4,7,2,2,8,,2,,8,6,6,,8
1774101494,Descent2e,7,GAME_OVER,152,0,4,57,14,4,7,2,2,7,,2,,8,6,6,,8
783867599,Descent2e,5,GAME_OVER,98,0,4,58,8,4,7,2,2,12,,2,,8,6,6,,8
-1640918021,Descent2e,5,GAME_OVER,119,0,4,59,12,4,7,2,2,8,,2,,8,6,6,,8
1678493404,Descent2e,5,GAME_OVER,109,0,4,60,8,4,7,2,2,12,,2,,10,6,6,,8
1415472902,Descent2e,5,GAME_OVER,133,0,4,61,10,4,7,2,2,12,,2,,8,6,6,,8
1703327422,Descent2e,4,GAME_OVER,83,0,4,62,8,4,7,2,2,10,,2,,14,6,6,,8
