GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,RoundCounter
-84488275,Descent2e,0,ROUND_OVER,29,10,4,2,
-84488275,Descent2e,1,ROUND_OVER,48,10,4,2,
-84488275,Descent2e,2,ROUND_OVER,67,10,4,2,
-84488275,Descent2e,3,ROUND_OVER,79,10,4,2,
-84488275,Descent2e,4,ROUND_OVER,99,10,4,2,
-611313646,Descent2e,0,ROUND_OVER,25,10,4,3,
-611313646,Descent2e,1,ROUND_OVER,38,10,4,3,
-611313646,Descent2e,2,ROUND_OVER,54,10,4,3,
-611313646,Descent2e,3,ROUND_OVER,65,10,4,3,
-611313646,Descent2e,4,ROUND_OVER,84,10,4,3,
1731327576,Descent2e,0,ROUND_OVER,39,10,4,4,
1731327576,Descent2e,1,ROUND_OVER,65,10,4,4,
1731327576,Descent2e,2,ROUND_OVER,93,10,4,4,
1731327576,Descent2e,3,ROUND_OVER,104,10,4,4,
1731327576,Descent2e,4,ROUND_OVER,119,10,4,4,
1731327576,Descent2e,5,ROUND_OVER,140,10,4,4,
-1030049306,Descent2e,0,ROUND_OVER,25,10,4,5,
-1030049306,Descent2e,1,ROUND_OVER,36,10,4,5,
-1030049306,Descent2e,2,ROUND_OVER,54,10,4,5,
-1030049306,Descent2e,3,ROUND_OVER,86,10,4,5,
-332434317,Descent2e,0,ROUND_OVER,19,10,4,6,
-332434317,Descent2e,1,ROUND_OVER,43,10,4,6,
-332434317,Descent2e,2,ROUND_OVER,58,10,4,6,
-332434317,Descent2e,3,ROUND_OVER,78,9,4,6,
204336152,Descent2e,0,ROUND_OVER,24,10,4,7,
204336152,Descent2e,1,ROUND_OVER,37,10,4,7,
204336152,Descent2e,2,ROUND_OVER,49,10,4,7,
204336152,Descent2e,3,ROUND_OVER,70,10,4,7,
114044284,Descent2e,0,ROUND_OVER,18,10,4,8,
114044284,Descent2e,1,ROUND_OVER,49,10,4,8,
114044284,Descent2e,2,ROUND_OVER,67,10,4,8,
114044284,Descent2e,3,ROUND_OVER,84,10,4,8,
114044284,Descent2e,4,ROUND_OVER,106,10,4,8,
1126255906,Descent2e,0,ROUND_OVER,19,10,4,9,
1126255906,Descent2e,1,ROUND_OVER,46,10,4,9,
1126255906,Descent2e,2,ROUND_OVER,66,10,4,9,
1126255906,Descent2e,3,ROUND_OVER,90,10,4,9,
1126255906,Descent2e,4,ROUND_OVER,114,10,4,9,
-407615820,Descent2e,0,ROUND_OVER,27,10,4,10,
-407615820,Descent2e,1,ROUND_OVER,44,10,4,10,
-407615820,Descent2e,2,ROUND_OVER,59,10,4,10,
-407615820,Descent2e,3,ROUND_OVER,81,10,4,10,
-407615820,Descent2e,4,ROUND_OVER,103,10,4,10,
270862216,Descent2e,0,ROUND_OVER,16,10,4,11,
270862216,Descent2e,1,ROUND_OVER,39,10,4,11,
270862216,Descent2e,2,ROUND_OVER,55,10,4,11,
270862216,Descent2e,3,ROUND_OVER,70,10,4,11,
270862216,Descent2e,4,ROUND_OVER,89,10,4,11,
-1291781659,Descent2e,0,ROUND_OVER,25,10,4,12,
-1291781659,Descent2e,1,ROUND_OVER,40,10,4,12,
-1291781659,Descent2e,2,ROUND_OVER,57,10,4,12,
-1291781659,Descent2e,3,ROUND_OVER,76,10,4,12,
-1291781659,Descent2e,4,ROUND_OVER,96,10,4,12,
-1474588018,Descent2e,0,ROUND_OVER,26,10,4,13,
-1474588018,Descent2e,1,ROUND_OVER,45,10,4,13,
-1474588018,Descent2e,2,ROUND_OVER,59,10,4,13,
-1474588018,Descent2e,3,ROUND_OVER,72,10,4,13,
-1474588018,Descent2e,4,ROUND_OVER,99,10,4,13,
697030021,Descent2e,0,ROUND_OVER,24,10,4,14,
697030021,Descent2e,1,ROUND_OVER,50,10,4,14,
697030021,Descent2e,2,ROUND_OVER,83,9,4,14,
697030021,Descent2e,3,ROUND_OVER,124,10,4,14,
697030021,Descent2e,4,ROUND_OVER,141,10,4,14,
697030021,Descent2e,5,ROUND_OVER,156,10,4,14,
956090341,Descent2e,0,ROUND_OVER,35,10,4,15,
956090341,Descent2e,1,ROUND_OVER,55,10,4,15,
956090341,Descent2e,2,ROUND_OVER,70,10,4,15,
956090341,Descent2e,3,ROUND_OVER,88,10,4,15,
956090341,Descent2e,4,ROUND_OVER,110,10,4,15,
1498501206,Descent2e,0,ROUND_OVER,25,10,4,16,
1498501206,Descent2e,1,ROUND_OVER,39,10,4,16,
1498501206,Descent2e,2,ROUND_OVER,68,10,4,16,
1498501206,Descent2e,3,ROUND_OVER,89,10,4,16,
1498501206,Descent2e,4,ROUND_OVER,113,10,4,16,
-164530892,Descent2e,0,ROUND_OVER,23,10,4,17,
-164530892,Descent2e,1,ROUND_OVER,45,10,4,17,
-164530892,Descent2e,2,ROUND_OVER,60,10,4,17,
-164530892,Descent2e,3,ROUND_OVER,75,10,4,17,
-164530892,Descent2e,4,ROUND_OVER,100,10,4,17,
-792746254,Descent2e,0,ROUND_OVER,28,10,4,18,
-792746254,Descent2e,1,ROUND_OVER,51,10,4,18,
-792746254,Descent2e,2,ROUND_OVER,71,10,4,18,
-792746254,Descent2e,3,ROUND_OVER,85,10,4,18,
-792746254,Descent2e,4,ROUND_OVER,98,10,4,18,
1589492708,Descent2e,0,ROUND_OVER,26,10,4,19,
1589492708,Descent2e,1,ROUND_OVER,62,10,4,19,
1589492708,Descent2e,2,ROUND_OVER,78,10,4,19,
1589492708,Descent2e,3,ROUND_OVER,93,9,4,19,
1589492708,Descent2e,4,ROUND_OVER,104,10,4,19,
1589492708,Descent2e,5,ROUND_OVER,122,9,4,19,
1589492708,Descent2e,6,ROUND_OVER,140,10,4,19,
1261642724,Descent2e,0,ROUND_OVER,25,10,4,20,
1261642724,Descent2e,1,ROUND_OVER,52,10,4,20,
1261642724,Descent2e,2,ROUND_OVER,72,10,4,20,
1261642724,Descent2e,3,ROUND_OVER,89,10,4,20,
1261642724,Descent2e,4,ROUND_OVER,101,10,4,20,
-450095454,Descent2e,0,ROUND_OVER,22,10,4,21,
-450095454,Descent2e,1,ROUND_OVER,47,10,4,21,
-450095454,Descent2e,2,ROUND_OVER,60,10,4,21,
-450095454,Descent2e,3,ROUND_OVER,79,10,4,21,
-450095454,Descent2e,4,ROUND_OVER,109,10,4,21,
-1046689982,Descent2e,0,ROUND_OVER,25,10,4,22,
-1046689982,Descent2e,1,ROUND_OVER,47,9,4,22,
-1046689982,Descent2e,2,ROUND_OVER,65,10,4,22,
-1046689982,Descent2e,3,ROUND_OVER,88,10,4,22,
-1046689982,Descent2e,4,ROUND_OVER,108,10,4,22,
-1046689982,Descent2e,5,ROUND_OVER,121,10,4,22,
1087748963,Descent2e,0,ROUND_OVER,29,10,4,23,
1087748963,Descent2e,1,ROUND_OVER,54,10,4,23,
1087748963,Descent2e,2,ROUND_OVER,88,9,4,23,
1087748963,Descent2e,3,ROUND_OVER,111,8,4,23,
1087748963,Descent2e,4,ROUND_OVER,146,9,4,23,
1087748963,Descent2e,5,ROUND_OVER,173,10,4,23,
1087748963,Descent2e,6,ROUND_OVER,193,10,4,23,
1087748963,Descent2e,7,ROUND_OVER,213,10,4,23,
1087748963,Descent2e,8,ROUND_OVER,226,10,4,23,
1087748963,Descent2e,9,ROUND_OVER,240,10,4,23,
1087748963,Descent2e,10,ROUND_OVER,264,10,4,23,
1087748963,Descent2e,11,ROUND_OVER,283,10,4,23,
1087748963,Descent2e,12,ROUND_OVER,298,10,4,23,
1087748963,Descent2e,13,ROUND_OVER,315,10,4,23,
1087748963,Descent2e,14,ROUND_OVER,328,10,4,23,
1087748963,Descent2e,15,ROUND_OVER,350,10,4,23,
1087748963,Descent2e,16,ROUND_OVER,362,10,4,23,
1087748963,Descent2e,17,ROUND_OVER,375,10,4,23,
1087748963,Descent2e,18,ROUND_OVER,391,10,4,23,
1087748963,Descent2e,19,ROUND_OVER,421,10,4,23,
430231772,Descent2e,0,ROUND_OVER,30,10,4,24,
430231772,Descent2e,1,ROUND_OVER,53,10,4,24,
430231772,Descent2e,2,ROUND_OVER,63,10,4,24,
430231772,Descent2e,3,ROUND_OVER,73,10,4,24,
430231772,Descent2e,4,ROUND_OVER,97,10,4,24,
301146624,Descent2e,0,ROUND_OVER,23,10,4,25,
301146624,Descent2e,1,ROUND_OVER,59,10,4,25,
301146624,Descent2e,2,ROUND_OVER,71,10,4,25,
301146624,Descent2e,3,ROUND_OVER,83,10,4,25,
301146624,Descent2e,4,ROUND_OVER,102,9,4,25,
301146624,Descent2e,5,ROUND_OVER,125,9,4,25,
-589854594,Descent2e,0,ROUND_OVER,25,10,4,26,
-589854594,Descent2e,1,ROUND_OVER,67,10,4,26,
-589854594,Descent2e,2,ROUND_OVER,92,10,4,26,
-589854594,Descent2e,3,ROUND_OVER,110,9,4,26,
-589854594,Descent2e,4,ROUND_OVER,128,10,4,26,
-589854594,Descent2e,5,ROUND_OVER,141,10,4,26,
605096602,Descent2e,0,ROUND_OVER,15,10,4,27,
605096602,Descent2e,1,ROUND_OVER,30,10,4,27,
605096602,Descent2e,2,ROUND_OVER,48,10,4,27,
605096602,Descent2e,3,ROUND_OVER,65,9,4,27,
605096602,Descent2e,4,ROUND_OVER,87,10,4,27,
605096602,Descent2e,5,ROUND_OVER,118,10,4,27,
970052066,Descent2e,0,ROUND_OVER,31,10,4,28,
970052066,Descent2e,1,ROUND_OVER,49,10,4,28,
970052066,Descent2e,2,ROUND_OVER,68,10,4,28,
970052066,Descent2e,3,ROUND_OVER,89,10,4,28,
970052066,Descent2e,4,ROUND_OVER,115,10,4,28,
1218200676,Descent2e,0,ROUND_OVER,35,10,4,29,
1218200676,Descent2e,1,ROUND_OVER,52,10,4,29,
1218200676,Descent2e,2,ROUND_OVER,65,10,4,29,
1218200676,Descent2e,3,ROUND_OVER,81,10,4,29,
1218200676,Descent2e,4,ROUND_OVER,98,9,4,29,
866989620,Descent2e,0,ROUND_OVER,24,10,4,30,
866989620,Descent2e,1,ROUND_OVER,42,10,4,30,
866989620,Descent2e,2,ROUND_OVER,54,10,4,30,
866989620,Descent2e,3,ROUND_OVER,66,10,4,30,
866989620,Descent2e,4,ROUND_OVER,92,10,4,30,
-47842161,Descent2e,0,ROUND_OVER,30,10,4,31,
-47842161,Descent2e,1,ROUND_OVER,60,10,4,31,
-47842161,Descent2e,2,ROUND_OVER,77,9,4,31,
-47842161,Descent2e,3,ROUND_OVER,96,10,4,31,
-47842161,Descent2e,4,ROUND_OVER,115,10,4,31,
-47842161,Descent2e,5,ROUND_OVER,138,9,4,31,
-47842161,Descent2e,6,ROUND_OVER,152,10,4,31,
-47842161,Descent2e,7,ROUND_OVER,173,10,4,31,
-47842161,Descent2e,8,ROUND_OVER,186,9,4,31,
-47842161,Descent2e,9,ROUND_OVER,201,9,4,31,
-47842161,Descent2e,10,ROUND_OVER,227,10,4,31,
-47842161,Descent2e,11,ROUND_OVER,243,10,4,31,
-47842161,Descent2e,12,ROUND_OVER,256,10,4,31,
-47842161,Descent2e,13,ROUND_OVER,269,10,4,31,
-47842161,Descent2e,14,ROUND_OVER,281,10,4,31,
-47842161,Descent2e,15,ROUND_OVER,294,10,4,31,
-47842161,Descent2e,16,ROUND_OVER,308,10,4,31,
-47842161,Descent2e,17,ROUND_OVER,323,10,4,31,
-47842161,Descent2e,18,ROUND_OVER,336,10,4,31,
-47842161,Descent2e,19,ROUND_OVER,380,10,4,31,
-244636835,Descent2e,0,ROUND_OVER,30,10,4,32,
-244636835,Descent2e,1,ROUND_OVER,55,10,4,32,
-244636835,Descent2e,2,ROUND_OVER,81,10,4,32,
-244636835,Descent2e,3,ROUND_OVER,97,10,4,32,
-244636835,Descent2e,4,ROUND_OVER,137,10,4,32,
-244636835,Descent2e,5,ROUND_OVER,155,10,4,32,
-244636835,Descent2e,6,ROUND_OVER,167,10,4,32,
-244636835,Descent2e,7,ROUND_OVER,191,10,4,32,
-410429852,Descent2e,0,ROUND_OVER,28,10,4,33,
-410429852,Descent2e,1,ROUND_OVER,51,10,4,33,
-410429852,Descent2e,2,ROUND_OVER,72,10,4,33,
-410429852,Descent2e,3,ROUND_OVER,84,10,4,33,
-410429852,Descent2e,4,ROUND_OVER,103,10,4,33,
25608568,Descent2e,0,ROUND_OVER,17,10,4,34,
25608568,Descent2e,1,ROUND_OVER,36,10,4,34,
25608568,Descent2e,2,ROUND_OVER,53,10,4,34,
25608568,Descent2e,3,ROUND_OVER,69,10,4,34,
25608568,Descent2e,4,ROUND_OVER,98,9,4,34,
-315373361,Descent2e,0,ROUND_OVER,27,10,4,35,
-315373361,Descent2e,1,ROUND_OVER,43,10,4,35,
-315373361,Descent2e,2,ROUND_OVER,58,10,4,35,
-315373361,Descent2e,3,ROUND_OVER,71,10,4,35,
-315373361,Descent2e,4,ROUND_OVER,91,10,4,35,
1721235730,Descent2e,0,ROUND_OVER,23,10,4,36,
1721235730,Descent2e,1,ROUND_OVER,44,10,4,36,
1721235730,Descent2e,2,ROUND_OVER,58,10,4,36,
1721235730,Descent2e,3,ROUND_OVER,79,10,4,36,
1721235730,Descent2e,4,ROUND_OVER,109,10,4,36,
-1756951828,Descent2e,0,ROUND_OVER,31,10,4,37,
-1756951828,Descent2e,1,ROUND_OVER,67,10,4,37,
-1756951828,Descent2e,2,ROUND_OVER,83,10,4,37,
-1756951828,Descent2e,3,ROUND_OVER,99,10,4,37,
-1756951828,Descent2e,4,ROUND_OVER,117,10,4,37,
172730667,Descent2e,0,ROUND_OVER,36,10,4,38,
172730667,Descent2e,1,ROUND_OVER,54,10,4,38,
172730667,Descent2e,2,ROUND_OVER,81,10,4,38,
172730667,Descent2e,3,ROUND_OVER,101,10,4,38,
172730667,Descent2e,4,ROUND_OVER,123,10,4,38,
-26441638,Descent2e,0,ROUND_OVER,30,10,4,39,
-26441638,Descent2e,1,ROUND_OVER,51,10,4,39,
-26441638,Descent2e,2,ROUND_OVER,77,10,4,39,
-26441638,Descent2e,3,ROUND_OVER,87,10,4,39,
-26441638,Descent2e,4,ROUND_OVER,101,10,4,39,
-26441638,Descent2e,5,ROUND_OVER,122,10,4,39,
-26441638,Descent2e,6,ROUND_OVER,132,10,4,39,
-26441638,Descent2e,7,ROUND_OVER,157,10,4,39,
1988733455,Descent2e,0,ROUND_OVER,17,10,4,40,
1988733455,Descent2e,1,ROUND_OVER,32,10,4,40,
1988733455,Descent2e,2,ROUND_OVER,48,10,4,40,
1988733455,Descent2e,3,ROUND_OVER,72,10,4,40,
1988733455,Descent2e,4,ROUND_OVER,90,10,4,40,
-1146669230,Descent2e,0,ROUND_OVER,24,10,4,41,
-1146669230,Descent2e,1,ROUND_OVER,48,10,4,41,
-1146669230,Descent2e,2,ROUND_OVER,60,10,4,41,
-1146669230,Descent2e,3,ROUND_OVER,86,9,4,41,
-1146669230,Descent2e,4,ROUND_OVER,109,10,4,41,
700752511,Descent2e,0,ROUND_OVER,20,10,4,42,
700752511,Descent2e,1,ROUND_OVER,39,10,4,42,
700752511,Descent2e,2,ROUND_OVER,52,10,4,42,
700752511,Descent2e,3,ROUND_OVER,63,10,4,42,
700752511,Descent2e,4,ROUND_OVER,90,10,4,42,
-1506964002,Descent2e,0,ROUND_OVER,22,10,4,43,
-1506964002,Descent2e,1,ROUND_OVER,41,10,4,43,
-1506964002,Descent2e,2,ROUND_OVER,53,10,4,43,
-1506964002,Descent2e,3,ROUND_OVER,69,9,4,43,
1627911882,Descent2e,0,ROUND_OVER,18,10,4,44,
1627911882,Descent2e,1,ROUND_OVER,35,10,4,44,
1627911882,Descent2e,2,ROUND_OVER,52,10,4,44,
1627911882,Descent2e,3,ROUND_OVER,72,10,4,44,
1627911882,Descent2e,4,ROUND_OVER,91,9,4,44,
1627911882,Descent2e,5,ROUND_OVER,124,10,4,44,
1627911882,Descent2e,6,ROUND_OVER,138,10,4,44,
1722747047,Descent2e,0,ROUND_OVER,26,10,4,45,
1722747047,Descent2e,1,ROUND_OVER,45,10,4,45,
1722747047,Descent2e,2,ROUND_OVER,55,10,4,45,
1722747047,Descent2e,3,ROUND_OVER,82,10,4,45,
-933116486,Descent2e,0,ROUND_OVER,25,10,4,46,
-933116486,Descent2e,1,ROUND_OVER,41,10,4,46,
-933116486,Descent2e,2,ROUND_OVER,59,10,4,46,
-933116486,Descent2e,3,ROUND_OVER,84,10,4,46,
-968323800,Descent2e,0,ROUND_OVER,25,10,4,47,
-968323800,Descent2e,1,ROUND_OVER,46,10,4,47,
-968323800,Descent2e,2,ROUND_OVER,69,10,4,47,
-968323800,Descent2e,3,ROUND_OVER,87,10,4,47,
83430792,Descent2e,0,ROUND_OVER,32,10,4,48,
83430792,Descent2e,1,ROUND_OVER,44,10,4,48,
83430792,Descent2e,2,ROUND_OVER,64,10,4,48,
83430792,Descent2e,3,ROUND_OVER,83,10,4,48,
379763279,Descent2e,0,ROUND_OVER,21,10,4,49,
379763279,Descent2e,1,ROUND_OVER,44,10,4,49,
379763279,Descent2e,2,ROUND_OVER,67,10,4,49,
379763279,Descent2e,3,ROUND_OVER,87,10,4,49,
379763279,Descent2e,4,ROUND_OVER,110,10,4,49,
-189775047,Descent2e,0,ROUND_OVER,30,10,4,50,
-189775047,Descent2e,1,ROUND_OVER,58,10,4,50,
-189775047,Descent2e,2,ROUND_OVER,68,10,4,50,
-189775047,Descent2e,3,ROUND_OVER,88,10,4,50,
-189775047,Descent2e,4,ROUND_OVER,114,10,4,50,
-1670167081,Descent2e,0,ROUND_OVER,15,10,4,51,
