GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,WinnerType
-84488275,Descent2e,5,GAME_OVER,100,0,4,2,overlord
-611313646,Descent2e,5,GAME_OVER,85,0,4,3,overlord
1731327576,Descent2e,6,GAME_OVER,141,0,4,4,overlord
-1030049306,Descent2e,4,GAME_OVER,87,0,4,5,overlord
-332434317,Descent2e,4,GAME_OVER,92,3,4,6,overlord
204336152,Descent2e,4,GAME_OVER,71,0,4,7,overlord
114044284,Descent2e,5,GAME_OVER,107,0,4,8,overlord
1126255906,Descent2e,5,GAME_OVER,115,0,4,9,overlord
-407615820,Descent2e,5,GAME_OVER,104,0,4,10,overlord
270862216,Descent2e,5,GAME_OVER,90,0,4,11,overlord
-1291781659,Descent2e,5,GAME_OVER,97,0,4,12,overlord
-1474588018,Descent2e,5,GAME_OVER,100,0,4,13,overlord
697030021,Descent2e,6,GAME_OVER,157,0,4,14,overlord
956090341,Descent2e,5,GAME_OVER,111,0,4,15,overlord
1498501206,Descent2e,5,GAME_OVER,114,0,4,16,overlord
-164530892,Descent2e,5,GAME_OVER,101,0,4,17,overlord
-792746254,Descent2e,5,GAME_OVER,99,0,4,18,overlord
1589492708,Descent2e,7,GAME_OVER,141,0,4,19,overlord
1261642724,Descent2e,5,GAME_OVER,102,0,4,20,overlord
-450095454,Descent2e,5,GAME_OVER,111,0,4,21,overlord
-1046689982,Descent2e,6,GAME_OVER,126,3,4,22,overlord
1087748963,Descent2e,20,GAME_OVER,422,0,4,23,timeout
430231772,Descent2e,5,GAME_OVER,98,0,4,24,overlord
301146624,Descent2e,6,GAME_OVER,126,0,4,25,overlord
-589854594,Descent2e,6,GAME_OVER,159,3,4,26,overlord
605096602,Descent2e,6,GAME_OVER,135,3,4,27,overlord
970052066,Descent2e,5,GAME_OVER,116,0,4,28,overlord
1218200676,Descent2e,5,GAME_OVER,108,3,4,29,overlord
866989620,Descent2e,5,GAME_OVER,93,0,4,30,overlord
-47842161,Descent2e,20,GAME_OVER,381,0,4,31,timeout
-244636835,Descent2e,8,GAME_OVER,192,0,4,32,overlord
-410429852,Descent2e,5,GAME_OVER,105,0,4,33,overlord
25608568,Descent2e,5,GAME_OVER,99,0,4,34,overlord
-315373361,Descent2e,5,GAME_OVER,92,0,4,35,overlord
1721235730,Descent2e,5,GAME_OVER,110,0,4,36,overlord
-1756951828,Descent2e,5,GAME_OVER,118,0,4,37,overlord
172730667,Descent2e,5,GAME_OVER,124,0,4,38,overlord
-26441638,Descent2e,8,GAME_OVER,158,0,4,39,overlord
1988733455,Descent2e,5,GAME_OVER,91,0,4,40,overlord
-1146669230,Descent2e,5,GAME_OVER,114,3,4,41,overlord
700752511,Descent2e,5,GAME_OVER,92,0,4,42,overlord
-1506964002,Descent2e,4,GAME_OVER,81,3,4,43,overlord
1627911882,Descent2e,7,GAME_OVER,144,3,4,44,overlord
1722747047,Descent2e,4,GAME_OVER,84,1,4,45,overlord
-933116486,Descent2e,4,GAME_OVER,85,0,4,46,overlord
-968323800,Descent2e,4,GAME_OVER,88,0,4,47,overlord
83430792,Descent2e,4,GAME_OVER,84,0,4,48,overlord
379763279,Descent2e,5,GAME_OVER,112,0,4,49,overlord
-189775047,Descent2e,5,GAME_OVER,115,0,4,50,overlord
-1670167081,Descent2e,5,GAME_OVER,125,3,4,51,overlord
-1673858813,Descent2e,5,GAME_OVER,104,0,4,52,overlord
-620912172,Descent2e,4,GAME_OVER,72,0,4,53,overlord
-1157110601,Descent2e,5,GAME_OVER,112,0,4,54,overlord
469411154,Descent2e,4,GAME_OVER,78,0,4,55,overlord
-1034279610,Descent2e,6,GAME_OVER,142,0,4,56,overlord
1774101494,Descent2e,7,GAME_OVER,152,0,4,57,overlord
783867599,Descent2e,5,GAME_OVER,98,0,4,58,overlord
-1640918021,Descent2e,5,GAME_OVER,119,0,4,59,overlord
1678493404,Descent2e,5,GAME_OVER,109,0,4,60,overlord
1415472902,Descent2e,5,GAME_OVER,133,0,4,61,overlord
1703327422,Descent2e,4,GAME_OVER,83,0,4,62,overlord
685957540,Descent2e,6,GAME_OVER,162,3,4,63,overlord
-1425051607,Descent2e,5,GAME_OVER,98,0,4,64,overlord
-1689921933,Descent2e,6,GAME_OVER,127,0,4,65,overlord
1606762606,Descent2e,20,GAME_OVER,386,0,4,66,timeout
-225376959,Descent2e,6,GAME_OVER,140,3,4,67,overlord
1702859030,Descent2e,5,GAME_OVER,127,4,4,68,overlord
-588199003,Descent2e,5,GAME_OVER,98,0,4,69,overlord
-1187448657,Descent2e,5,GAME_OVER,114,0,4,70,overlord
1908777951,Descent2e,6,GAME_OVER,147,0,4,71,overlord
-19063564,Descent2e,7,GAME_OVER,177,3,4,72,overlord
-464392183,Descent2e,6,GAME_OVER,106,0,4,73,overlord
-919846969,Descent2e,8,GAME_OVER,169,3,4,74,overlord
-2107764011,Descent2e,4,GAME_OVER,73,0,4,75,overlord
1049473689,Descent2e,4,GAME_OVER,95,0,4,76,overlord
1439313004,Descent2e,7,GAME_OVER,140,0,4,77,overlord
255801388,Descent2e,4,GAME_OVER,86,0,4,78,overlord
-790542024,Descent2e,5,GAME_OVER,95,1,4,79,overlord
1632740047,Descent2e,6,GAME_OVER,135,0,4,80,overlord
743913869,Descent2e,4,GAME_OVER,78,0,4,81,overlord
-158315121,Descent2e,5,GAME_OVER,118,0,4,82,overlord
1270805651,Descent2e,4,GAME_OVER,69,0,4,83,overlord
732526831,Descent2e,5,GAME_OVER,96,3,4,84,overlord
-155048468,Descent2e,5,GAME_OVER,86,0,4,85,overlord
-432560100,Descent2e,5,GAME_OVER,132,0,4,86,overlord
1277076695,Descent2e,7,GAME_OVER,139,0,4,87,overlord
-2005341752,Descent2e,5,GAME_OVER,108,0,4,88,overlord
-1211112216,Descent2e,6,GAME_OVER,121,0,4,89,overlord
-1796206592,Descent2e,6,GAME_OVER,132,0,4,90,overlord
652297104,Descent2e,6,GAME_OVER,135,0,4,91,overlord
-1817228092,Descent2e,5,GAME_OVER,95,0,4,92,overlord
-1308411128,Descent2e,7,GAME_OVER,137,0,4,93,overlord
-1167325909,Descent2e,5,GAME_OVER,114,0,4,94,overlord
31869529,Descent2e,4,GAME_OVER,109,0,4,95,overlord
1654391629,Descent2e,4,GAME_OVER,90,0,4,96,overlord
-1868522600,Descent2e,5,GAME_OVER,103,0,4,97,overlord
-1686237354,Descent2e,7,GAME_OVER,139,0,4,98,overlord
-188126062,Descent2e,6,GAME_OVER,126,0,4,99,overlord
-451448212,Descent2e,6,GAME_OVER,119,3,4,100,overlord
1905904503,Descent2e,4,GAME_OVER,82,0,4,101,overlord
