GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),WinnerType(WinnerType),Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master),HealthPoints(Hero 1 HP),HealthPoints(Goblin Master HP),HealthPoints(Overlord Fatigue),HealthPoints(Goblin Minion 1 HP),HealthPoints(Goblin Minion 2 HP),HealthPoints(Hero 3 HP),HealthPoints(Hero 4 HP),HealthPoints(Goblin Minion 3 HP),HealthPoints(Goblin Minion 4 HP),HealthPoints(Hero 2 HP),HealthPoints(Barghest Minion 2 HP),HealthPoints(Barghest Minion 1 HP),HealthPoints(Barghest Minion 3 HP),HealthPoints(Barghest Master HP),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(Player-2),GameScore(PlayerName-1),GameScore(PlayerName-2),Winner(PlayerIdx)
319406125,Descent2e,5,GAME_OVER,90,0,3,2,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS,overlord,"(9,4)","(1,15)",,,,"(5,8)",,,,"(5,6)","(5,7)","(4,17)","(11,6)",12,4,7,2,2,,,,,10,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,0
575404384,Descent2e,6,GAME_OVER,88,0,3,3,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS,overlord,"(9,5)","(1,15)",,,,"(5,15)",,,,"(3,7)","(3,17)","(3,6)","(10,4)",14,4,7,2,2,,,,,10,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,0
-1559433249,Descent2e,7,GAME_OVER,142,0,3,4,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS,overlord,"(10,3)","(3,17)",,,,"(3,12)",,,,"(6,6)","(11,5)","(5,14)","(9,2)",8,4,7,2,2,,,,,10,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,0
-438098715,Descent2e,5,GAME_OVER,80,0,3,5,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS,overlord,"(10,4)","(1,15)",,,,"(3,13)",,,,"(5,8)","(3,9)","(5,14)","(9,2)",8,2,7,2,2,,,,,14,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,0
-1161313317,Descent2e,11,GAME_OVER,192,0,3,6,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS,overlord,"(4,2)","(3,16)",,,,"(7,12)",,,,"(4,7)","(3,14)","(5,7)","(11,4)",12,4,7,2,2,,,,,8,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,0
511034640,Descent2e,5,GAME_OVER,108,0,3,7,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS,overlord,"(3,6)","(6,17)",,,,"(5,14)",,,,"(5,13)","(9,7)","(6,15)","(6,3)",8,2,7,2,2,,,,,7,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,0
343994104,Descent2e,6,GAME_OVER,86,0,3,8,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS,overlord,"(8,3)","(5,17)",,,,"(4,16)",,,,"(3,8)","(5,7)","(5,14)","(6,2)",8,4,7,2,2,,,,,10,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,0
-1858855300,Descent2e,20,GAME_OVER,250,0,3,9,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS,timeout,"(11,4)","(4,14)",,,,"(3,12)",,,,"(4,6)","(10,7)","(7,7)","(10,4)",10,4,5,2,2,,,,,8,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,-1
931210764,Descent2e,4,GAME_OVER,59,0,3,10,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS,overlord,"(10,3)","(1,15)",,,,"(10,15)",,,,"(5,5)","(2,5)","(4,16)","(8,2)",10,4,7,2,2,,,,,14,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,0
452628520,Descent2e,5,GAME_OVER,128,2,3,11,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS,overlord,"(10,4)","(3,16)",,,,"(3,13)",,,,"(5,7)","(8,2)","(4,14)","(7,4)",8,1,7,2,2,,,,,8,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,0
