GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Hero 1 HP,Goblin Master HP,Overlord Fatigue,Goblin Minion 1 HP,Goblin Minion 2 HP,Hero 3 HP,Hero 4 HP,Goblin Minion 3 HP,Goblin Minion 4 HP,Hero 2 HP,Barghest Minion 2 HP,Barghest Minion 1 HP,Barghest Minion 3 HP,Barghest Master HP
319406125,Descent2e,5,GAME_OVER,90,0,3,2,12,4,7,2,2,,,,,10,,6,,8
575404384,Descent2e,6,GAME_OVER,88,0,3,3,14,4,7,2,2,,,,,10,,6,,8
-1559433249,Descent2e,7,GAME_OVER,142,0,3,4,8,4,7,2,2,,,,,10,,6,,8
-438098715,Descent2e,5,GAME_OVER,80,0,3,5,8,2,7,2,2,,,,,14,,6,,8
-1161313317,Descent2e,11,GAME_OVER,192,0,3,6,12,4,7,2,2,,,,,8,,6,,8
511034640,Descent2e,5,GAME_OVER,108,0,3,7,8,2,7,2,2,,,,,7,,6,,8
343994104,Descent2e,6,GAME_OVER,86,0,3,8,8,4,7,2,2,,,,,10,,6,,8
-1858855300,Descent2e,20,GAME_OVER,250,0,3,9,10,4,5,2,2,,,,,8,,6,,8
931210764,Descent2e,4,GAME_OVER,59,0,3,10,10,4,7,2,2,,,,,14,,6,,8
452628520,Descent2e,5,GAME_OVER,128,2,3,11,8,1,7,2,2,,,,,8,,6,,8
-1114019099,Descent2e,5,GAME_OVER,78,0,3,12,10,4,7,2,2,,,,,14,,6,,8
755477450,Descent2e,5,GAME_OVER,81,0,3,13,14,4,7,2,2,,,,,8,,6,,8
-423533759,Descent2e,7,GAME_OVER,125,0,3,14,3,1,7,2,2,,,,,7,,6,,8
185304058,Descent2e,6,GAME_OVER,149,0,3,15,10,4,7,2,2,,,,,8,,Dead,,8
-60098171,Descent2e,5,GAME_OVER,83,0,3,16,12,4,7,1,2,,,,,10,,6,,8
-959946565,Descent2e,5,GAME_OVER,74,0,3,17,8,3,7,2,2,,,,,14,,6,,8
292692223,Descent2e,6,GAME_OVER,104,0,3,18,10,1,7,2,2,,,,,8,,6,,8
1899368996,Descent2e,20,GAME_OVER,289,0,3,19,14,4,6,2,2,,,,,8,,6,,8
-992268812,Descent2e,4,GAME_OVER,90,0,3,20,10,4,7,2,1,,,,,10,,6,,8
-1438281155,Descent2e,5,GAME_OVER,85,0,3,21,14,4,7,2,2,,,,,12,,6,,8
1500598738,Descent2e,5,GAME_OVER,101,2,3,22,12,1,7,2,2,,,,,8,,6,,8
-1738743222,Descent2e,5,GAME_OVER,96,0,3,23,8,4,7,2,2,,,,,12,,6,,8
-1038252494,Descent2e,6,GAME_OVER,101,0,3,24,8,4,7,2,2,,,,,14,,6,,8
748018966,Descent2e,20,GAME_OVER,254,0,3,25,8,4,3,2,2,,,,,12,,6,,8
-996731500,Descent2e,5,GAME_OVER,90,0,3,26,12,4,7,2,2,,,,,12,,6,,8
1130718981,Descent2e,4,GAME_OVER,83,0,3,27,10,4,7,2,2,,,,,3,,6,,8
6229762,Descent2e,5,GAME_OVER,74,0,3,28,8,4,7,2,2,,,,,12,,6,,8
-308623887,Descent2e,4,GAME_OVER,74,0,3,29,7,4,7,2,2,,,,,8,,6,,8
-838673937,Descent2e,20,GAME_OVER,242,0,3,30,8,4,4,2,2,,,,,8,,6,,8
-940224998,Descent2e,5,GAME_OVER,86,1,3,31,12,4,7,2,2,,,,,10,,6,,8
170779156,Descent2e,6,GAME_OVER,93,0,3,32,14,3,7,2,2,,,,,12,,6,,8
-644495687,Descent2e,5,GAME_OVER,79,0,3,33,8,4,7,2,2,,,,,12,,6,,8
503021343,Descent2e,5,GAME_OVER,103,0,3,34,5,4,7,2,2,,,,,7,,6,,8
-1768275986,Descent2e,4,GAME_OVER,99,2,3,35,8,4,7,2,2,,,,,8,,6,,8
-1369972123,Descent2e,4,GAME_OVER,61,0,3,36,8,4,7,2,2,,,,,12,,6,,8
-361734871,Descent2e,4,GAME_OVER,89,0,3,37,14,4,7,2,2,,,,,10,,6,,8
1529251068,Descent2e,20,GAME_OVER,269,0,3,38,8,4,5,2,2,,,,,10,,6,,8
-647388615,Descent2e,20,GAME_OVER,270,0,3,39,12,4,3,2,2,,,,,8,,6,,8
-1462871322,Descent2e,5,GAME_OVER,107,0,3,40,8,4,7,2,2,,,,,7,,6,,8
140373667,Descent2e,5,GAME_OVER,94,0,3,41,14,4,7,2,2,,,,,12,,6,,8
563512375,Descent2e,6,GAME_OVER,89,0,3,42,12,4,7,2,2,,,,,12,,6,,8
1758286330,Descent2e,5,GAME_OVER,99,1,3,43,12,4,7,2,2,,,,,10,,6,,8
-774741157,Descent2e,6,GAME_OVER,129,0,3,44,8,4,7,2,2,,,,,12,,6,,8
-1130916543,Descent2e,6,GAME_OVER,90,0,3,45,10,2,7,2,2,,,,,8,,6,,8
1030846435,Descent2e,4,GAME_OVER,66,0,3,46,8,4,7,2,2,,,,,12,,6,,8
1745717418,Descent2e,5,GAME_OVER,86,0,3,47,10,4,7,2,2,,,,,12,,6,,8
210251654,Descent2e,19,GAME_OVER,393,0,3,48,5,4,7,2,2,,,,,10,,6,,8
1281305129,Descent2e,20,GAME_OVER,316,0,3,49,8,4,6,2,2,,,,,12,,6,,8
1140038455,Descent2e,7,GAME_OVER,113,0,3,50,8,4,7,2,2,,,,,10,,6,,8
1735876788,Descent2e,4,GAME_OVER,74,0,3,51,14,4,7,2,2,,,,,8,,6,,8
525184132,Descent2e,5,GAME_OVER,130,0,3,52,8,4,7,2,2,,,,,12,,6,,8
2004361509,Descent2e,5,GAME_OVER,98,1,3,53,10,4,7,2,2,,,,,8,,6,,8
110878610,Descent2e,7,GAME_OVER,124,2,3,54,10,3,7,2,2,,,,,8,,6,,8
-1543328477,Descent2e,20,GAME_OVER,268,0,3,55,10,4,2,2,2,,,,,14,,6,,8
-1089269642,Descent2e,5,GAME_OVER,87,0,3,56,8,4,7,2,2,,,,,8,,6,,8
-2129000077,Descent2e,20,GAME_OVER,303,0,3,57,10,4,5,2,2,,,,,10,,6,,8
-577028418,Descent2e,5,GAME_OVER,86,2,3,58,14,4,7,2,1,,,,,8,,6,,8
-1957619555,Descent2e,20,GAME_OVER,279,0,3,59,5,4,4,2,2,,,,,12,,6,,8
431636578,Descent2e,5,GAME_OVER,84,0,3,60,10,4,7,2,2,,,,,8,,6,,8
1984546776,Descent2e,8,GAME_OVER,141,0,3,61,12,1,7,2,2,,,,,10,,6,,8
-1469026952,Descent2e,5,GAME_OVER,96,0,3,62,12,1,7,2,2,,,,,10,,6,,8
-368328817,Descent2e,7,GAME_OVER,111,0,3,63,13,4,7,2,2,,,,,8,,6,,8
-328454052,Descent2e,6,GAME_OVER,125,2,3,64,8,4,7,2,2,,,,,12,,6,,8
1036246523,Descent2e,5,GAME_OVER,88,0,3,65,14,1,7,2,2,,,,,5,,6,,8
-1439845840,Descent2e,8,GAME_OVER,149,2,3,66,14,4,7,2,2,,,,,8,,6,,8
1766046121,Descent2e,9,GAME_OVER,141,0,3,67,10,4,7,2,2,,,,,10,,6,,8
-266231328,Descent2e,5,GAME_OVER,102,0,3,68,10,4,7,2,2,,,,,8,,6,,8
-445426961,Descent2e,4,GAME_OVER,72,0,3,69,14,4,7,2,2,,,,,10,,6,,8
444523532,Descent2e,9,GAME_OVER,162,0,3,70,8,4,7,2,2,,,,,12,,6,,8
1087194764,Descent2e,7,GAME_OVER,134,0,3,71,8,4,7,2,2,,,,,8,,6,,8
42919042,Descent2e,20,GAME_OVER,256,0,3,72,10,4,2,2,2,,,,,8,,6,,8
-1391062767,Descent2e,5,GAME_OVER,95,0,3,73,12,4,7,2,2,,,,,14,,6,,8
-1318988238,Descent2e,20,GAME_OVER,321,0,3,74,10,4,5,2,2,,,,,8,,6,,8
1070895554,Descent2e,13,GAME_OVER,207,0,3,75,10,4,7,2,2,,,,,8,,6,,8
-1300726584,Descent2e,5,GAME_OVER,95,3,3,76,14,4,7,2,2,,,,,10,,6,,8
