GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,RoundCounter
319406125,Descent2e,0,ROUND_OVER,28,7,3,2,
319406125,Descent2e,1,ROUND_OVER,46,7,3,2,
319406125,Descent2e,2,ROUND_OVER,58,7,3,2,
319406125,Descent2e,3,ROUND_OVER,70,7,3,2,
319406125,Descent2e,4,ROUND_OVER,89,7,3,2,
575404384,Descent2e,0,ROUND_OVER,10,7,3,3,
575404384,Descent2e,1,ROUND_OVER,25,7,3,3,
575404384,Descent2e,2,ROUND_OVER,41,7,3,3,
575404384,Descent2e,3,ROUND_OVER,48,7,3,3,
575404384,Descent2e,4,ROUND_OVER,61,7,3,3,
575404384,Descent2e,5,ROUND_OVER,87,7,3,3,
-1559433249,Descent2e,0,ROUND_OVER,25,7,3,4,
-1559433249,Descent2e,1,ROUND_OVER,48,7,3,4,
-1559433249,Descent2e,2,ROUND_OVER,67,7,3,4,
-1559433249,Descent2e,3,ROUND_OVER,78,6,3,4,
-1559433249,Descent2e,4,ROUND_OVER,96,7,3,4,
-1559433249,Descent2e,5,ROUND_OVER,120,6,3,4,
-1559433249,Descent2e,6,ROUND_OVER,141,7,3,4,
-438098715,Descent2e,0,ROUND_OVER,17,7,3,5,
-438098715,Descent2e,1,ROUND_OVER,37,7,3,5,
-438098715,Descent2e,2,ROUND_OVER,47,7,3,5,
-438098715,Descent2e,3,ROUND_OVER,57,7,3,5,
-438098715,Descent2e,4,ROUND_OVER,79,7,3,5,
-1161313317,Descent2e,0,ROUND_OVER,27,7,3,6,
-1161313317,Descent2e,1,ROUND_OVER,50,7,3,6,
-1161313317,Descent2e,2,ROUND_OVER,59,7,3,6,
-1161313317,Descent2e,3,ROUND_OVER,73,7,3,6,
-1161313317,Descent2e,4,ROUND_OVER,100,7,3,6,
-1161313317,Descent2e,5,ROUND_OVER,117,7,3,6,
-1161313317,Descent2e,6,ROUND_OVER,139,7,3,6,
-1161313317,Descent2e,7,ROUND_OVER,152,7,3,6,
-1161313317,Descent2e,8,ROUND_OVER,168,7,3,6,
-1161313317,Descent2e,9,ROUND_OVER,177,7,3,6,
-1161313317,Descent2e,10,ROUND_OVER,191,7,3,6,
511034640,Descent2e,0,ROUND_OVER,24,7,3,7,
511034640,Descent2e,1,ROUND_OVER,49,7,3,7,
511034640,Descent2e,2,ROUND_OVER,66,7,3,7,
511034640,Descent2e,3,ROUND_OVER,96,6,3,7,
511034640,Descent2e,4,ROUND_OVER,107,7,3,7,
343994104,Descent2e,0,ROUND_OVER,21,7,3,8,
343994104,Descent2e,1,ROUND_OVER,39,7,3,8,
343994104,Descent2e,2,ROUND_OVER,49,7,3,8,
343994104,Descent2e,3,ROUND_OVER,57,7,3,8,
343994104,Descent2e,4,ROUND_OVER,65,7,3,8,
343994104,Descent2e,5,ROUND_OVER,85,7,3,8,
-1858855300,Descent2e,0,ROUND_OVER,17,7,3,9,
-1858855300,Descent2e,1,ROUND_OVER,43,7,3,9,
-1858855300,Descent2e,2,ROUND_OVER,59,6,3,9,
-1858855300,Descent2e,3,ROUND_OVER,74,7,3,9,
-1858855300,Descent2e,4,ROUND_OVER,87,6,3,9,
-1858855300,Descent2e,5,ROUND_OVER,99,7,3,9,
-1858855300,Descent2e,6,ROUND_OVER,108,6,3,9,
-1858855300,Descent2e,7,ROUND_OVER,119,7,3,9,
-1858855300,Descent2e,8,ROUND_OVER,130,7,3,9,
-1858855300,Descent2e,9,ROUND_OVER,142,7,3,9,
-1858855300,Descent2e,10,ROUND_OVER,150,7,3,9,
-1858855300,Descent2e,11,ROUND_OVER,160,7,3,9,
-1858855300,Descent2e,12,ROUND_OVER,170,7,3,9,
-1858855300,Descent2e,13,ROUND_OVER,178,7,3,9,
-1858855300,Descent2e,14,ROUND_OVER,187,7,3,9,
-1858855300,Descent2e,15,ROUND_OVER,194,7,3,9,
-1858855300,Descent2e,16,ROUND_OVER,204,7,3,9,
-1858855300,Descent2e,17,ROUND_OVER,212,7,3,9,
-1858855300,Descent2e,18,ROUND_OVER,223,7,3,9,
-1858855300,Descent2e,19,ROUND_OVER,249,7,3,9,
931210764,Descent2e,0,ROUND_OVER,13,7,3,10,
931210764,Descent2e,1,ROUND_OVER,33,7,3,10,
931210764,Descent2e,2,ROUND_OVER,40,7,3,10,
931210764,Descent2e,3,ROUND_OVER,58,7,3,10,
452628520,Descent2e,0,ROUND_OVER,17,7,3,11,
452628520,Descent2e,1,ROUND_OVER,41,7,3,11,
452628520,Descent2e,2,ROUND_OVER,70,7,3,11,
452628520,Descent2e,3,ROUND_OVER,90,7,3,11,
452628520,Descent2e,4,ROUND_OVER,105,6,3,11,
-1114019099,Descent2e,0,ROUND_OVER,12,7,3,12,
-1114019099,Descent2e,1,ROUND_OVER,24,7,3,12,
-1114019099,Descent2e,2,ROUND_OVER,41,7,3,12,
-1114019099,Descent2e,3,ROUND_OVER,54,7,3,12,
