GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master)
-428145664,Descent2e,0,ABOUT_TO_START,0,0,2,2,"(7,2)","(2,15)",,,,"(2,16)",,,,"(2,5)","(2,4)","(3,5)","(10,6)"
301571211,Descent2e,0,ABOUT_TO_START,0,0,2,3,"(8,3)","(2,15)",,,,"(2,16)",,,,"(2,2)","(2,7)","(5,7)","(6,2)"
-1349591403,Descent2e,0,ABOUT_TO_START,0,0,2,4,"(9,6)","(2,16)",,,,"(2,15)",,,,"(4,4)","(4,6)","(2,5)","(11,6)"
187172682,Descent2e,0,ABOUT_TO_START,0,0,2,5,"(10,6)","(2,16)",,,,"(2,15)",,,,"(2,6)","(3,5)","(4,7)","(9,3)"
204511687,Descent2e,0,ABOUT_TO_START,0,0,2,6,"(6,4)","(1,16)",,,,"(1,15)",,,,"(2,7)","(4,5)","(5,3)","(11,5)"
-1704375242,Descent2e,0,ABOUT_TO_START,0,0,2,7,"(11,5)","(1,15)",,,,"(2,15)",,,,"(4,5)","(5,7)","(2,4)","(8,2)"
-1536407514,Descent2e,0,ABOUT_TO_START,0,0,2,8,"(6,3)","(2,15)",,,,"(1,16)",,,,"(3,5)","(3,4)","(5,5)","(10,3)"
827361904,Descent2e,0,ABOUT_TO_START,0,0,2,9,"(10,3)","(1,15)",,,,"(2,16)",,,,"(5,5)","(2,6)","(3,6)","(8,6)"
847152417,Descent2e,0,ABOUT_TO_START,0,0,2,10,"(11,6)","(1,15)",,,,"(1,16)",,,,"(2,6)","(2,2)","(5,6)","(6,5)"
1142908333,Descent2e,0,ABOUT_TO_START,0,0,2,11,"(8,2)","(2,15)",,,,"(1,15)",,,,"(2,3)","(3,2)","(5,5)","(6,2)"
-1064674997,Descent2e,0,ABOUT_TO_START,0,0,2,12,"(9,4)","(2,16)",,,,"(1,16)",,,,"(2,6)","(3,3)","(5,5)","(6,4)"
223436599,Descent2e,0,ABOUT_TO_START,0,0,2,13,"(6,2)","(2,15)",,,,"(2,16)",,,,"(3,7)","(5,4)","(4,6)","(10,4)"
-312833850,Descent2e,0,ABOUT_TO_START,0,0,2,14,"(8,2)","(2,15)",,,,"(1,16)",,,,"(2,3)","(4,4)","(5,4)","(9,5)"
113837294,Descent2e,0,ABOUT_TO_START,0,0,2,15,"(11,6)","(2,15)",,,,"(1,16)",,,,"(4,2)","(4,3)","(5,5)","(8,3)"
-2024361174,Descent2e,0,ABOUT_TO_START,0,0,2,16,"(11,5)","(1,16)",,,,"(2,16)",,,,"(4,4)","(3,5)","(5,5)","(8,3)"
-1650823777,Descent2e,0,ABOUT_TO_START,0,0,2,17,"(11,5)","(1,16)",,,,"(2,15)",,,,"(2,2)","(3,2)","(5,3)","(9,5)"
1883815596,Descent2e,0,ABOUT_TO_START,0,0,2,18,"(7,3)","(2,16)",,,,"(1,15)",,,,"(3,3)","(3,5)","(5,6)","(8,6)"
-650133693,Descent2e,0,ABOUT_TO_START,0,0,2,19,"(9,2)","(1,16)",,,,"(1,15)",,,,"(3,3)","(2,5)","(2,4)","(8,3)"
669058127,Descent2e,0,ABOUT_TO_START,0,0,2,20,"(8,6)","(2,16)",,,,"(1,15)",,,,"(2,6)","(5,2)","(2,5)","(11,5)"
344875733,Descent2e,0,ABOUT_TO_START,0,0,2,21,"(6,4)","(2,15)",,,,"(1,15)",,,,"(5,6)","(2,4)","(5,2)","(7,3)"
727886180,Descent2e,0,ABOUT_TO_START,0,0,2,22,"(8,2)","(1,15)",,,,"(2,15)",,,,"(5,2)","(4,3)","(3,7)","(10,5)"
-1487150373,Descent2e,0,ABOUT_TO_START,0,0,2,23,"(9,3)","(2,16)",,,,"(1,16)",,,,"(2,2)","(3,2)","(5,4)","(11,5)"
15667883,Descent2e,0,ABOUT_TO_START,0,0,2,24,"(8,6)","(2,15)",,,,"(2,16)",,,,"(2,5)","(3,3)","(3,7)","(11,6)"
-910521112,Descent2e,0,ABOUT_TO_START,0,0,2,25,"(6,4)","(2,16)",,,,"(1,16)",,,,"(5,7)","(5,6)","(4,4)","(10,3)"
1366521796,Descent2e,0,ABOUT_TO_START,0,0,2,26,"(9,3)","(2,16)",,,,"(1,15)",,,,"(2,2)","(5,5)","(5,3)","(11,6)"
1676843926,Descent2e,0,ABOUT_TO_START,0,0,2,27,"(6,5)","(2,15)",,,,"(2,16)",,,,"(4,2)","(4,7)","(3,3)","(7,3)"
1790501342,Descent2e,0,ABOUT_TO_START,0,0,2,28,"(6,3)","(1,16)",,,,"(2,16)",,,,"(3,5)","(3,2)","(5,3)","(10,4)"
1745108418,Descent2e,0,ABOUT_TO_START,0,0,2,29,"(6,2)","(2,16)",,,,"(1,16)",,,,"(3,4)","(2,4)","(2,7)","(10,5)"
421682885,Descent2e,0,ABOUT_TO_START,0,0,2,30,"(6,2)","(1,15)",,,,"(2,15)",,,,"(5,5)","(5,4)","(4,4)","(7,3)"
1792086303,Descent2e,0,ABOUT_TO_START,0,0,2,31,"(10,5)","(1,16)",,,,"(2,15)",,,,"(4,3)","(3,7)","(4,4)","(6,5)"
508197304,Descent2e,0,ABOUT_TO_START,0,0,2,32,"(9,3)","(1,15)",,,,"(1,16)",,,,"(2,2)","(3,4)","(2,3)","(8,6)"
1146415445,Descent2e,0,ABOUT_TO_START,0,0,2,33,"(11,6)","(1,16)",,,,"(2,16)",,,,"(5,3)","(3,2)","(2,2)","(7,3)"
927870383,Descent2e,0,ABOUT_TO_START,0,0,2,34,"(11,6)","(1,15)",,,,"(2,16)",,,,"(4,5)","(5,2)","(3,3)","(11,4)"
-1442655681,Descent2e,0,ABOUT_TO_START,0,0,2,35,"(8,2)","(2,16)",,,,"(1,15)",,,,"(5,2)","(5,3)","(4,4)","(8,6)"
-698543875,Descent2e,0,ABOUT_TO_START,0,0,2,36,"(11,5)","(2,15)",,,,"(2,16)",,,,"(2,5)","(3,5)","(3,4)","(8,3)"
1529705236,Descent2e,0,ABOUT_TO_START,0,0,2,37,"(11,5)","(1,15)",,,,"(2,15)",,,,"(3,3)","(2,6)","(3,4)","(7,2)"
759922803,Descent2e,0,ABOUT_TO_START,0,0,2,38,"(7,4)","(2,15)",,,,"(1,16)",,,,"(5,4)","(2,5)","(4,4)","(10,6)"
-3989136,Descent2e,0,ABOUT_TO_START,0,0,2,39,"(9,4)","(1,16)",,,,"(1,15)",,,,"(3,2)","(5,3)","(5,4)","(10,5)"
173121640,Descent2e,0,ABOUT_TO_START,0,0,2,40,"(9,2)","(1,15)",,,,"(1,16)",,,,"(5,5)","(3,2)","(3,3)","(7,4)"
219963044,Descent2e,0,ABOUT_TO_START,0,0,2,41,"(10,4)","(2,15)",,,,"(2,16)",,,,"(4,4)","(3,5)","(3,7)","(6,3)"
-1259785129,Descent2e,0,ABOUT_TO_START,0,0,2,42,"(8,3)","(1,16)",,,,"(1,15)",,,,"(4,3)","(2,5)","(3,4)","(10,6)"
-128059727,Descent2e,0,ABOUT_TO_START,0,0,2,43,"(6,3)","(1,16)",,,,"(2,15)",,,,"(3,5)","(2,7)","(5,5)","(8,2)"
1980965362,Descent2e,0,ABOUT_TO_START,0,0,2,44,"(6,3)","(2,15)",,,,"(1,15)",,,,"(3,5)","(3,4)","(5,7)","(9,3)"
-1986406445,Descent2e,0,ABOUT_TO_START,0,0,2,45,"(9,4)","(1,16)",,,,"(2,16)",,,,"(5,4)","(2,4)","(4,2)","(9,2)"
-600505640,Descent2e,0,ABOUT_TO_START,0,0,2,46,"(11,4)","(1,15)",,,,"(1,16)",,,,"(2,3)","(4,4)","(5,2)","(7,4)"
-968963432,Descent2e,0,ABOUT_TO_START,0,0,2,47,"(6,3)","(1,15)",,,,"(1,16)",,,,"(3,3)","(5,3)","(4,5)","(10,5)"
-1857617837,Descent2e,0,ABOUT_TO_START,0,0,2,48,"(9,6)","(1,15)",,,,"(2,15)",,,,"(4,6)","(3,5)","(2,7)","(8,6)"
1485293000,Descent2e,0,ABOUT_TO_START,0,0,2,49,"(10,4)","(1,15)",,,,"(2,15)",,,,"(2,2)","(4,4)","(2,4)","(9,4)"
