GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Hero 1 HP,Goblin Master HP,Overlord Fatigue,Goblin Minion 1 HP,Goblin Minion 2 HP,Hero 3 HP,Hero 4 HP,Goblin Minion 3 HP,Goblin Minion 4 HP,Hero 2 HP,Barghest Minion 2 HP,Barghest Minion 1 HP,Barghest Minion 3 HP,Barghest Master HP
-428145664,Descent2e,20,GAME_OVER,234,0,2,2,8,4,3,2,2,,,,,14,,6,,8
301571211,Descent2e,6,GAME_OVER,101,0,2,3,10,4,7,2,2,,,,,10,,6,,8
-1349591403,Descent2e,20,GAME_OVER,318,0,2,4,14,4,5,2,2,,,,,8,,6,,8
187172682,Descent2e,7,GAME_OVER,153,0,2,5,12,4,7,2,2,,,,,14,,6,,8
204511687,Descent2e,4,GAME_OVER,102,0,2,6,12,4,7,2,2,,,,,12,,6,,8
-1704375242,Descent2e,5,GAME_OVER,94,0,2,7,10,4,7,2,2,,,,,8,,6,,8
-1536407514,Descent2e,20,GAME_OVER,304,0,2,8,14,4,2,2,2,,,,,8,,6,,8
827361904,Descent2e,7,GAME_OVER,143,3,2,9,12,4,7,2,2,,,,,12,,6,,8
847152417,Descent2e,12,GAME_OVER,189,0,2,10,10,4,7,1,2,,,,,8,,6,,8
1142908333,Descent2e,5,GAME_OVER,98,0,2,11,5,4,7,1,2,,,,,8,,6,,8
-1064674997,Descent2e,4,GAME_OVER,111,0,2,12,8,2,7,2,2,,,,,14,,6,,8
223436599,Descent2e,7,GAME_OVER,103,0,2,13,8,4,7,2,1,,,,,14,,6,,8
-312833850,Descent2e,5,GAME_OVER,121,1,2,14,12,4,7,2,2,,,,,8,,6,,3
113837294,Descent2e,20,GAME_OVER,249,0,2,15,14,4,4,2,2,,,,,10,,6,,8
-2024361174,Descent2e,20,GAME_OVER,256,0,2,16,14,4,2,2,2,,,,,8,,6,,8
-1650823777,Descent2e,5,GAME_OVER,131,0,2,17,8,4,7,2,2,,,,,8,,6,,8
1883815596,Descent2e,20,GAME_OVER,283,0,2,18,12,4,6,2,2,,,,,10,,6,,8
-650133693,Descent2e,5,GAME_OVER,129,0,2,19,12,2,7,2,2,,,,,8,,6,,1
669058127,Descent2e,5,GAME_OVER,91,0,2,20,10,2,7,2,2,,,,,10,,6,,8
344875733,Descent2e,20,GAME_OVER,279,0,2,21,12,4,5,2,2,,,,,8,,6,,8
727886180,Descent2e,8,GAME_OVER,133,0,2,22,8,4,7,2,2,,,,,12,,6,,6
-1487150373,Descent2e,5,GAME_OVER,115,0,2,23,8,4,7,2,1,,,,,10,,6,,8
15667883,Descent2e,5,GAME_OVER,115,0,2,24,8,4,7,2,2,,,,,12,,6,,8
-910521112,Descent2e,5,GAME_OVER,125,1,2,25,8,3,7,2,2,,,,,10,,6,,8
1366521796,Descent2e,6,GAME_OVER,143,0,2,26,8,4,7,2,2,,,,,14,,6,,8
1676843926,Descent2e,6,GAME_OVER,108,0,2,27,10,4,7,2,2,,,,,8,,6,,8
1790501342,Descent2e,7,GAME_OVER,152,0,2,28,10,4,7,2,2,,,,,8,,6,,8
1745108418,Descent2e,20,GAME_OVER,227,0,2,29,14,4,2,2,2,,,,,8,,6,,8
421682885,Descent2e,6,GAME_OVER,113,0,2,30,12,4,7,2,Dead,,,,,8,,6,,8
