GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Barghest Minion 1,Hero 1,Barghest Minion 3,Barghest Minion 2,Hero 3,Hero 2,Hero 4,Goblin Minion 3,Goblin Minion 4,Goblin Minion 1,Goblin Minion 2,Goblin Master,Barghest Master
-428145664,Descent2e,0,ABOUT_TO_START,0,0,2,2,"(7,2)","(2,15)",,,,"(2,16)",,,,"(2,5)","(2,4)","(3,5)","(10,6)"
-428145664,Descent2e,0,ROUND_OVER,14,7,2,2,"(7,2)","(6,16)",,,,"(2,16)",,,,"(2,5)","(2,4)","(4,15)","(10,6)"
-428145664,Descent2e,1,ROUND_OVER,42,6,2,2,"(7,2)","(5,15)",,,,"(7,14)",,,,"(3,14)","(5,7)","(7,7)","(10,6)"
-428145664,Descent2e,2,ROUND_OVER,58,6,2,2,"(7,2)","(4,14)",,,,"(7,14)",,,,"(5,16)","(8,4)","(7,7)","(10,6)"
-428145664,Descent2e,3,ROUND_OVER,77,6,2,2,"(7,2)","(7,16)",,,,"(6,15)",,,,"(8,4)","(10,5)","(7,7)","(10,6)"
-428145664,Descent2e,4,ROUND_OVER,89,7,2,2,"(7,2)","(7,15)",,,,"(6,15)",,,,"(8,4)","(10,5)","(7,7)","(10,6)"
-428145664,Descent2e,5,ROUND_OVER,98,7,2,2,"(7,2)","(7,15)",,,,"(6,15)",,,,"(8,4)","(10,5)","(7,7)","(10,6)"
-428145664,Descent2e,6,ROUND_OVER,110,7,2,2,"(7,2)","(7,14)",,,,"(6,15)",,,,"(8,4)","(10,5)","(7,7)","(10,6)"
-428145664,Descent2e,7,ROUND_OVER,118,7,2,2,"(7,2)","(7,14)",,,,"(6,15)",,,,"(8,4)","(10,5)","(7,7)","(10,6)"
-428145664,Descent2e,8,ROUND_OVER,126,7,2,2,"(7,2)","(7,14)",,,,"(6,15)",,,,"(8,4)","(10,5)","(7,7)","(10,6)"
-428145664,Descent2e,9,ROUND_OVER,134,7,2,2,"(7,2)","(7,14)",,,,"(6,15)",,,,"(8,4)","(10,5)","(7,7)","(10,6)"
-428145664,Descent2e,10,ROUND_OVER,143,7,2,2,"(7,2)","(7,14)",,,,"(6,15)",,,,"(8,4)","(10,5)","(7,7)","(10,6)"
-428145664,Descent2e,11,ROUND_OVER,156,7,2,2,"(7,2)","(7,14)",,,,"(9,14)",,,,"(8,4)","(10,5)","(7,7)","(10,6)"
-428145664,Descent2e,12,ROUND_OVER,165,7,2,2,"(7,2)","(7,14)",,,,"(9,14)",,,,"(8,4)","(10,5)","(7,7)","(10,6)"
-428145664,Descent2e,13,ROUND_OVER,173,7,2,2,"(7,2)","(7,14)",,,,"(9,14)",,,,"(8,4)","(10,5)","(7,7)","(10,6)"
-428145664,Descent2e,14,ROUND_OVER,184,7,2,2,"(7,2)","(7,14)",,,,"(9,14)",,,,"(8,4)","(10,5)","(7,7)","(10,6)"
-428145664,Descent2e,15,ROUND_OVER,194,7,2,2,"(7,2)","(7,14)",,,,"(9,14)",,,,"(8,4)","(10,5)","(7,7)","(10,6)"
-428145664,Descent2e,16,ROUND_OVER,205,7,2,2,"(7,2)","(7,14)",,,,"(9,14)",,,,"(8,4)","(10,5)","(7,7)","(10,6)"
-428145664,Descent2e,17,ROUND_OVER,214,7,2,2,"(7,2)","(7,14)",,,,"(9,14)",,,,"(8,4)","(10,5)","(7,7)","(10,6)"
