GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,RoundCounter
-428145664,Descent2e,0,ROUND_OVER,14,7,2,2,
-428145664,Descent2e,1,ROUND_OVER,42,6,2,2,
-428145664,Descent2e,2,ROUND_OVER,58,6,2,2,
-428145664,Descent2e,3,ROUND_OVER,77,6,2,2,
-428145664,Descent2e,4,ROUND_OVER,89,7,2,2,
-428145664,Descent2e,5,ROUND_OVER,98,7,2,2,
-428145664,Descent2e,6,ROUND_OVER,110,7,2,2,
-428145664,Descent2e,7,ROUND_OVER,118,7,2,2,
-428145664,Descent2e,8,ROUND_OVER,126,7,2,2,
-428145664,Descent2e,9,ROUND_OVER,134,7,2,2,
-428145664,Descent2e,10,ROUND_OVER,143,7,2,2,
-428145664,Descent2e,11,ROUND_OVER,156,7,2,2,
-428145664,Descent2e,12,ROUND_OVER,165,7,2,2,
-428145664,Descent2e,13,ROUND_OVER,173,7,2,2,
-428145664,Descent2e,14,ROUND_OVER,184,7,2,2,
-428145664,Descent2e,15,ROUND_OVER,194,7,2,2,
-428145664,Descent2e,16,ROUND_OVER,205,7,2,2,
-428145664,Descent2e,17,ROUND_OVER,214,7,2,2,
-428145664,Descent2e,18,ROUND_OVER,222,7,2,2,
-428145664,Descent2e,19,ROUND_OVER,233,7,2,2,
301571211,Descent2e,0,ROUND_OVER,15,7,2,3,
301571211,Descent2e,1,ROUND_OVER,22,7,2,3,
301571211,Descent2e,2,ROUND_OVER,33,7,2,3,
301571211,Descent2e,3,ROUND_OVER,54,7,2,3,
301571211,Descent2e,4,ROUND_OVER,69,7,2,3,
301571211,Descent2e,5,ROUND_OVER,100,7,2,3,
-1349591403,Descent2e,0,ROUND_OVER,18,7,2,4,
-1349591403,Descent2e,1,ROUND_OVER,27,7,2,4,
-1349591403,Descent2e,2,ROUND_OVER,42,6,2,4,
-1349591403,Descent2e,3,ROUND_OVER,77,7,2,4,
-1349591403,Descent2e,4,ROUND_OVER,111,6,2,4,
-1349591403,Descent2e,5,ROUND_OVER,128,7,2,4,
-1349591403,Descent2e,6,ROUND_OVER,156,6,2,4,
-1349591403,Descent2e,7,ROUND_OVER,165,7,2,4,
-1349591403,Descent2e,8,ROUND_OVER,174,7,2,4,
-1349591403,Descent2e,9,ROUND_OVER,184,7,2,4,
-1349591403,Descent2e,10,ROUND_OVER,198,7,2,4,
-1349591403,Descent2e,11,ROUND_OVER,214,7,2,4,
-1349591403,Descent2e,12,ROUND_OVER,226,7,2,4,
-1349591403,Descent2e,13,ROUND_OVER,242,7,2,4,
-1349591403,Descent2e,14,ROUND_OVER,253,7,2,4,
-1349591403,Descent2e,15,ROUND_OVER,267,7,2,4,
-1349591403,Descent2e,16,ROUND_OVER,283,7,2,4,
-1349591403,Descent2e,17,ROUND_OVER,294,7,2,4,
-1349591403,Descent2e,18,ROUND_OVER,305,7,2,4,
-1349591403,Descent2e,19,ROUND_OVER,317,7,2,4,
187172682,Descent2e,0,ROUND_OVER,14,7,2,5,
187172682,Descent2e,1,ROUND_OVER,43,6,2,5,
187172682,Descent2e,2,ROUND_OVER,65,7,2,5,
187172682,Descent2e,3,ROUND_OVER,88,7,2,5,
187172682,Descent2e,4,ROUND_OVER,113,6,2,5,
187172682,Descent2e,5,ROUND_OVER,131,7,2,5,
187172682,Descent2e,6,ROUND_OVER,152,6,2,5,
204511687,Descent2e,0,ROUND_OVER,32,7,2,6,
204511687,Descent2e,1,ROUND_OVER,62,7,2,6,
204511687,Descent2e,2,ROUND_OVER,69,7,2,6,
204511687,Descent2e,3,ROUND_OVER,101,7,2,6,
-1704375242,Descent2e,0,ROUND_OVER,17,7,2,7,
-1704375242,Descent2e,1,ROUND_OVER,35,7,2,7,
-1704375242,Descent2e,2,ROUND_OVER,47,7,2,7,
-1704375242,Descent2e,3,ROUND_OVER,62,7,2,7,
-1704375242,Descent2e,4,ROUND_OVER,93,7,2,7,
-1536407514,Descent2e,0,ROUND_OVER,18,7,2,8,
-1536407514,Descent2e,1,ROUND_OVER,50,6,2,8,
-1536407514,Descent2e,2,ROUND_OVER,63,7,2,8,
-1536407514,Descent2e,3,ROUND_OVER,75,7,2,8,
-1536407514,Descent2e,4,ROUND_OVER,88,7,2,8,
-1536407514,Descent2e,5,ROUND_OVER,113,6,2,8,
-1536407514,Descent2e,6,ROUND_OVER,126,7,2,8,
-1536407514,Descent2e,7,ROUND_OVER,137,7,2,8,
-1536407514,Descent2e,8,ROUND_OVER,147,7,2,8,
-1536407514,Descent2e,9,ROUND_OVER,161,7,2,8,
-1536407514,Descent2e,10,ROUND_OVER,174,7,2,8,
-1536407514,Descent2e,11,ROUND_OVER,200,6,2,8,
-1536407514,Descent2e,12,ROUND_OVER,209,7,2,8,
-1536407514,Descent2e,13,ROUND_OVER,219,7,2,8,
-1536407514,Descent2e,14,ROUND_OVER,229,7,2,8,
-1536407514,Descent2e,15,ROUND_OVER,239,7,2,8,
-1536407514,Descent2e,16,ROUND_OVER,248,7,2,8,
-1536407514,Descent2e,17,ROUND_OVER,258,7,2,8,
-1536407514,Descent2e,18,ROUND_OVER,269,7,2,8,
-1536407514,Descent2e,19,ROUND_OVER,303,7,2,8,
827361904,Descent2e,0,ROUND_OVER,26,7,2,9,
827361904,Descent2e,1,ROUND_OVER,42,7,2,9,
827361904,Descent2e,2,ROUND_OVER,60,7,2,9,
827361904,Descent2e,3,ROUND_OVER,69,7,2,9,
827361904,Descent2e,4,ROUND_OVER,91,7,2,9,
827361904,Descent2e,5,ROUND_OVER,101,7,2,9,
827361904,Descent2e,6,ROUND_OVER,120,6,2,9,
847152417,Descent2e,0,ROUND_OVER,29,7,2,10,
847152417,Descent2e,1,ROUND_OVER,41,7,2,10,
847152417,Descent2e,2,ROUND_OVER,52,7,2,10,
847152417,Descent2e,3,ROUND_OVER,61,7,2,10,
847152417,Descent2e,4,ROUND_OVER,68,7,2,10,
847152417,Descent2e,5,ROUND_OVER,80,7,2,10,
847152417,Descent2e,6,ROUND_OVER,88,7,2,10,
847152417,Descent2e,7,ROUND_OVER,95,7,2,10,
847152417,Descent2e,8,ROUND_OVER,107,7,2,10,
847152417,Descent2e,9,ROUND_OVER,120,7,2,10,
847152417,Descent2e,10,ROUND_OVER,144,6,2,10,
847152417,Descent2e,11,ROUND_OVER,188,7,2,10,
1142908333,Descent2e,0,ROUND_OVER,35,7,2,11,
1142908333,Descent2e,1,ROUND_OVER,45,7,2,11,
1142908333,Descent2e,2,ROUND_OVER,61,7,2,11,
1142908333,Descent2e,3,ROUND_OVER,68,7,2,11,
1142908333,Descent2e,4,ROUND_OVER,97,7,2,11,
-1064674997,Descent2e,0,ROUND_OVER,13,7,2,12,
-1064674997,Descent2e,1,ROUND_OVER,53,7,2,12,
-1064674997,Descent2e,2,ROUND_OVER,73,7,2,12,
-1064674997,Descent2e,3,ROUND_OVER,110,6,2,12,
223436599,Descent2e,0,ROUND_OVER,12,7,2,13,
223436599,Descent2e,1,ROUND_OVER,19,7,2,13,
223436599,Descent2e,2,ROUND_OVER,27,7,2,13,
223436599,Descent2e,3,ROUND_OVER,36,7,2,13,
223436599,Descent2e,4,ROUND_OVER,54,7,2,13,
223436599,Descent2e,5,ROUND_OVER,69,7,2,13,
223436599,Descent2e,6,ROUND_OVER,102,7,2,13,
-312833850,Descent2e,0,ROUND_OVER,23,7,2,14,
-312833850,Descent2e,1,ROUND_OVER,35,7,2,14,
-312833850,Descent2e,2,ROUND_OVER,62,7,2,14,
-312833850,Descent2e,3,ROUND_OVER,86,7,2,14,
-312833850,Descent2e,4,ROUND_OVER,119,7,2,14,
113837294,Descent2e,0,ROUND_OVER,22,7,2,15,
113837294,Descent2e,1,ROUND_OVER,38,6,2,15,
113837294,Descent2e,2,ROUND_OVER,53,7,2,15,
113837294,Descent2e,3,ROUND_OVER,68,7,2,15,
113837294,Descent2e,4,ROUND_OVER,95,7,2,15,
113837294,Descent2e,5,ROUND_OVER,115,6,2,15,
113837294,Descent2e,6,ROUND_OVER,122,7,2,15,
113837294,Descent2e,7,ROUND_OVER,131,7,2,15,
113837294,Descent2e,8,ROUND_OVER,140,7,2,15,
113837294,Descent2e,9,ROUND_OVER,147,7,2,15,
113837294,Descent2e,10,ROUND_OVER,158,7,2,15,
113837294,Descent2e,11,ROUND_OVER,167,7,2,15,
113837294,Descent2e,12,ROUND_OVER,175,7,2,15,
113837294,Descent2e,13,ROUND_OVER,184,7,2,15,
113837294,Descent2e,14,ROUND_OVER,193,7,2,15,
113837294,Descent2e,15,ROUND_OVER,205,7,2,15,
113837294,Descent2e,16,ROUND_OVER,215,7,2,15,
113837294,Descent2e,17,ROUND_OVER,224,7,2,15,
113837294,Descent2e,18,ROUND_OVER,234,7,2,15,
113837294,Descent2e,19,ROUND_OVER,248,7,2,15,
-2024361174,Descent2e,0,ROUND_OVER,28,7,2,16,
-2024361174,Descent2e,1,ROUND_OVER,45,5,2,16,
-2024361174,Descent2e,2,ROUND_OVER,71,6,2,16,
-2024361174,Descent2e,3,ROUND_OVER,80,7,2,16,
